Term,Lag,P_Value,Significance
a influenza,1,0.049327445236423406,Uncorrected
is flu contagious,1,0.005108801422182271,Uncorrected
is flu contagious,2,0.034582829923359405,Uncorrected
rsv,3,0.03847673986481773,Uncorrected
