,a influenza,bronchitis,cold,contagious flu,flu a,flu cold,flu contagious,flu fever,flu how long,flu symptoms,how long flu,influenza a,pneumonia,rsv,sinus,stomach flu,strep,symptoms of flu,the flu,the flu symptoms
2010-08 to 2013-08,0.0020473351616966187,0.047417717545069155,0.05972160448420094,0.0202862654264955,0.14227683272114486,0.0202862654264955,0.22078864246999658,0.09524660477005185,0.09897381404522206,0.2514201202135173,0.0202862654264955,0.0020473351616966187,0.09524660477005185,0.09809513766481882,0.09524660477005185,0.0202862654264955,0.011845419068472356,0.14287256463716422,0.09897381404522206,0.22078864246999658
2011-08 to 2014-08,0.301963586033884,0.11170523951043194,0.36329562852594643,0.0810678406553732,0.3037377003400368,0.11170523951043194,0.11170523951043194,0.11170523951043194,0.11170523951043194,0.13233443286611868,0.323084162860029,0.301963586033884,0.11170523951043194,0.11170523951043194,0.2729509784445109,0.15722840646661512,0.3321430901409083,0.11170523951043194,0.26332970717490256,0.11170523951043194
2012-08 to 2015-08,0.18275394449798388,0.34222254073923575,0.19224991845524914,0.20453100410791217,0.392550783696309,0.05840782911672904,0.34222254073923575,0.19224991845524914,0.34222254073923575,0.1585142069435175,0.1585142069435175,0.18275394449798388,0.18275394449798388,0.17912612708238057,0.34222254073923575,0.17912612708238057,0.1585142069435175,0.18275394449798388,0.20453100410791217,0.18275394449798388
2013-08 to 2016-08,0.06345433850181478,0.06345433850181478,0.15004829952110957,0.18224271348731527,0.1337222721013141,0.1337222721013141,0.11127022671013741,0.06345433850181478,0.15004829952110957,0.138641557403445,0.11563758552859021,0.06345433850181478,0.06345433850181478,0.14855543049839687,0.2917454383473161,0.1337222721013141,0.06345433850181478,0.24634053324797325,0.14925919860883588,0.06345433850181478
2014-08 to 2017-08,0.259115300154013,0.3495903463602405,0.4271414500302083,0.259115300154013,0.259115300154013,0.259115300154013,0.39660232790431327,0.42816115613072714,0.3495903463602405,0.259115300154013,0.320743379018597,0.259115300154013,0.3495903463602405,0.259115300154013,0.259115300154013,0.259115300154013,0.42816115613072714,0.259115300154013,0.259115300154013,0.259115300154013
2015-08 to 2018-08,0.19863098196071446,0.1415266790898261,0.28676177690411847,0.15066542244744,0.25499807987609335,0.12718483318195659,0.12718483318195659,0.19863098196071446,0.1415266790898261,0.05190846618199131,0.12718483318195659,0.19863098196071446,0.12718483318195659,0.12718483318195659,0.12718483318195659,0.06033131297566052,0.28676177690411847,0.28676177690411847,0.15024365116575017,0.1415266790898261
2016-08 to 2019-08,0.22228329068192784,0.3591908051396599,0.22228329068192784,0.3591908051396599,0.38984841227251404,0.3400633109910811,0.3400633109910811,0.3655031608265857,0.22228329068192784,0.6140817067522447,0.26447070686182556,0.22228329068192784,0.3473141211105765,0.3655031608265857,0.3400633109910811,0.32574948295974154,0.5765584380498875,0.3400633109910811,0.3591908051396599,0.3473141211105765
2017-08 to 2020-08,0.04609795408371941,0.20087474370019834,0.04609795408371941,0.20087474370019834,0.08482323081879886,0.04609795408371941,0.2125158373875465,0.08482323081879886,0.08482323081879886,0.24212822834598483,0.08482323081879886,0.04609795408371941,0.07193035131276652,0.20087474370019834,0.1882949979995578,0.11867996356828159,0.08482323081879886,0.2324141288628279,0.22355739698415011,0.2204994993131636
Proportion_Significant,0.450 (9/20),,,,,,,,,,,,,,,,,,,
