Term,Lag,P_Value,Significance
bronchitis,2,0.0395462147429297,Uncorrected
cold,1,0.0033036741436879443,FDR
cold,3,0.003078752257266835,FDR
fever flu,2,0.016777428331822886,FDR
flu a,1,0.0025513968631312284,FDR
flu a,5,0.0027397725768349354,FDR
flu cold,1,0.018652999905479625,FDR
flu contagious,2,0.03078212679420614,FDR
flu contagious,3,0.0033237761898376357,FDR
flu fever,2,0.04413065622023345,FDR
flu fever,5,0.0015999360506961644,Bonferroni
flu symptoms,1,0.03351473194682714,Uncorrected
how long does the flu last,3,0.0016342498163549163,Bonferroni
symptoms of flu,1,0.011186421120944326,FDR
the flu symptoms,1,1.3098947015261556e-05,Bonferroni
the flu symptoms,2,0.015784784976624975,FDR
