Term,Lag,P_Value,Significance
cold,1,1.895404187647675e-09,Bonferroni
cold,2,0.04185280969590685,FDR
cold,3,0.039079924098513255,FDR
fever flu,3,0.02704913948869287,FDR
flu a,1,0.029945185423592192,FDR
flu cold,2,0.0068177610540873365,FDR
flu cold,3,0.009963922398632781,FDR
flu fever,3,0.027049139453353063,FDR
flu symptoms,1,2.2621551350505093e-05,Bonferroni
flu symptoms,2,0.02368189812086362,FDR
flu type,1,8.792320585979996e-08,Bonferroni
flu type,3,0.003946998851508174,FDR
flu virus,3,0.01710811163566743,FDR
how long does flu last,1,0.011425077568880716,FDR
how long does flu last,2,0.008788079541304282,FDR
is flu contagious,1,8.821087861354533e-05,Bonferroni
symptoms of flu,2,0.009562364478957839,FDR
the flu,3,0.030932153050156112,FDR
the flu symptoms,2,0.021658038104164154,FDR
