,bronchitis,cold symptoms,contagious flu,fever flu,flu cold,flu contagious,flu fever,flu how long,flu symptoms,how long contagious,how long does the flu last,how long flu,pneumonia,robitussin,rsv,sinus,stomach flu,stomach flu symptoms,symptoms of pneumonia,walking pneumonia
2010-08 to 2013-08,0.355590540809567,0.23860782753120416,0.4644270694221848,0.24493169196316883,0.05282341824914351,0.4644270694247934,0.2449316919595598,0.06410026546438863,0.04296469123537428,0.05173990071707158,0.2028770614941468,0.27634788511939,0.3926848293211115,0.2948967615606269,0.20641686110313895,0.12473934930719932,0.1465565318373548,0.06295802663884684,0.2100979265428522,0.20161888842327014
2011-08 to 2014-08,0.06608863725547985,0.38023626971047675,0.028493377541319174,0.23477103541784372,0.024832619476777056,0.02849337754113261,0.23477103541706498,0.5325652554597116,0.1618929274842351,0.11137144273401307,0.15891290404099084,0.5105662125030976,0.2443245707756064,0.1515610708029821,0.4150441922132293,0.10963667704156159,0.16751318382342067,0.0008398416118154946,0.1994990709792665,0.2998429708162675
2012-08 to 2015-08,0.26665501242031525,0.5739511150254084,0.07320638493813456,0.07759964379671536,0.15881929258322308,0.07320638496066996,0.07759964379768503,0.2743997003438324,0.2011090192175099,0.19252884002667106,0.37057685167106924,0.09001764282930423,0.0856874420858489,0.2056154785353324,0.21175491041447916,0.2697326212071674,0.48552953421148126,0.17444809545659265,0.460550317745436,0.1876299666281793
2013-08 to 2016-08,0.03466989252956985,0.32517230173402767,0.04596840604667202,0.22297277822313155,0.017481531189367818,0.04596840608633971,0.22297277822922607,0.3620428723005942,0.07298087523861801,0.24395130634153248,0.043646798603303054,0.08653739999338642,0.24879578212855935,0.2707104736188045,0.19868229551086283,0.016414487880698273,0.015243874096375091,0.602178586340516,0.09500685559045659,0.16963648843790582
2014-08 to 2017-08,0.04516414293093165,0.25308040508286883,0.4232171441501984,0.15830222503215355,0.12437496345834669,0.42321714416216194,0.1583022250289421,0.39055039430433924,0.21017662102339366,0.12533333423913617,0.08120369591870524,0.3483242152675303,0.3652861720861206,0.0972861122003536,0.13450157609996422,0.040131127557261864,0.034537525214393294,0.38358656855390594,0.03705820007624432,0.12152465119592398
2015-08 to 2018-08,0.2954218413065272,0.20203917812211195,0.03472431376497288,0.43717200675828305,0.17747617384045417,0.034724313765655254,0.43717200679212465,0.06740374295956247,0.371192715631233,0.03390682809625206,0.0012794362514323436,0.046688638845987916,0.009781562437652923,0.37502091174338803,0.15236872459275166,0.03763955951860966,0.008952988101729373,0.42733933149761827,0.06955716180381079,0.042441834591525396
2016-08 to 2019-08,0.062444557517560076,0.02458157740550636,0.1770949333905569,0.010946097074167592,0.12779866759153774,0.17709493342229624,0.010946097074106853,0.012384021539463693,0.2748936435749525,0.00974145127492335,0.028595653013177635,0.037406173877845186,0.12292514647783163,0.00847364442318866,0.029819548623635322,0.16715593765171743,0.03721725693382274,0.028482053474161502,0.0018897809036609711,0.16477100083181256
2017-08 to 2020-08,0.32160857637020557,0.09236700501891189,0.2757887587291153,0.20802815923422396,0.44978371529797,0.27578875874517894,0.2080281592178854,0.008673264174307799,0.24633558505365757,0.24773671758209936,0.14753858095340608,0.006124755009076864,0.6024911809680091,0.0641425737215941,0.27685513090165026,0.12602150697992845,0.19479426060553545,0.04482424343694054,0.3612869073744118,0.20098256626580988
Proportion_Significant,0.25,,,,,,,,,,,,,,,,,,,
