Term,Lag,P_Value,Significance
contagious flu,3,0.006394862117491881,FDR
fever flu,3,0.034923181674130666,Uncorrected
flu a,1,0.0008685349473426326,Bonferroni
flu a,2,0.03321863133946498,FDR
flu cold,1,0.029887622500385957,Uncorrected
flu cold,4,0.0404849443886669,Uncorrected
flu contagious,3,0.0063948621073128915,FDR
flu symptoms,1,0.00011432856387757044,Bonferroni
flu symptoms,4,0.02465713245732213,FDR
how long flu,3,0.019819793578059353,FDR
how long flu,4,0.03976721515252572,FDR
pneumonia,4,0.0063381889642645205,FDR
rsv,3,0.011660669439763465,FDR
rsv,5,0.030173593928974684,FDR
sinus,2,0.012870060387813789,FDR
the flu symptoms,2,0.018780399667626197,FDR
the flu symptoms,5,0.002535145625616629,FDR
