,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K20
New Mexico,0.001344,0.001480,0.001861,0.001861,0.009678,0.009678,0.011980,0.012371,0.014697,0.026967,0.037370,0.037505,0.043909,0.047933,0.050510,0.067200,0.081011,0.100991,0.143633,0.145559
New York,0.003605,0.003605,0.003605,0.013858,0.013858,0.015116,0.021703,0.037095,0.050849,0.053061,0.053061,0.053061,0.053341,0.078988,0.078988,0.093696,0.093696,0.093696,0.130341,0.179769
North Carolina,0.004472,0.010684,0.014748,0.016523,0.017785,0.024973,0.024973,0.024973,0.024973,0.024973,0.025904,0.033861,0.033861,0.035222,0.039950,0.039950,0.047198,0.060278,0.088594,0.124352
North Dakota,0.002025,0.002025,0.002025,0.003178,0.005768,0.023267,0.023267,0.028403,0.029556,0.029556,0.031152,0.031152,0.031152,0.038732,0.040890,0.042715,0.076466,0.088332,0.104903,0.114431
Ohio,0.000192,0.001021,0.001021,0.003983,0.012298,0.027036,0.027036,0.027036,0.027036,0.027036,0.033902,0.035054,0.045134,0.045134,0.049095,0.049095,0.062922,0.079849,0.080708,0.104086
Oklahoma,0.006864,0.009687,0.009687,0.009687,0.010250,0.010250,0.012609,0.019087,0.024926,0.024926,0.037207,0.047443,0.047443,0.048584,0.051332,0.075479,0.075479,0.078144,0.099036,0.107815
Oregon,0.004797,0.004797,0.020996,0.025970,0.025970,0.037102,0.037102,0.037102,0.037102,0.037220,0.037220,0.041480,0.044359,0.044725,0.044725,0.047670,0.068122,0.068122,0.068122,0.077381
Pennsylvania,0.002409,0.003220,0.003238,0.003238,0.003238,0.003238,0.005523,0.006371,0.007194,0.022796,0.023063,0.023176,0.024163,0.025299,0.025299,0.048555,0.048555,0.048555,0.071820,0.091395
Rhode Island,0.000004,0.000027,0.000679,0.000679,0.002535,0.002535,0.007379,0.013655,0.046399,0.046399,0.055015,0.058886,0.072824,0.076364,0.076364,0.076364,0.076364,0.112948,0.137214,0.144916
South Carolina,0.001341,0.001341,0.001341,0.004549,0.004741,0.004741,0.004741,0.004741,0.006700,0.007511,0.013360,0.014582,0.022721,0.022721,0.023773,0.031695,0.048621,0.050988,0.050988,0.050988
South Dakota,0.006551,0.010521,0.010521,0.010521,0.013285,0.013285,0.021003,0.021003,0.021003,0.022720,0.022720,0.037765,0.037765,0.047680,0.054501,0.057821,0.072069,0.072069,0.082760,0.158030
Tennessee,0.000458,0.000458,0.000870,0.011634,0.011653,0.027158,0.029981,0.030394,0.032090,0.051087,0.052749,0.054942,0.062906,0.102863,0.110973,0.144164,0.151331,0.151331,0.151331,0.177346
Texas,0.006442,0.028670,0.028670,0.035069,0.035069,0.035978,0.050853,0.056946,0.063759,0.063759,0.064888,0.074662,0.074662,0.074662,0.074993,0.074993,0.092476,0.103135,0.116140,0.123946
Utah,0.003187,0.003187,0.004824,0.008395,0.008395,0.017380,0.021328,0.027052,0.027052,0.027052,0.027052,0.027052,0.027484,0.037311,0.104363,0.108911,0.153373,0.153373,0.153373,0.153373
Vermont,0.010437,0.010437,0.032700,0.032700,0.036596,0.039886,0.049133,0.080921,0.080921,0.080921,0.080921,0.080921,0.080921,0.080921,0.083105,0.083105,0.110601,0.114048,0.140120,0.224261
Virginia,0.000354,0.002125,0.002811,0.005137,0.005137,0.005137,0.006758,0.006758,0.006758,0.015440,0.022156,0.024077,0.025976,0.025976,0.027946,0.036662,0.038751,0.041280,0.043037,0.050912
Washington,0.000226,0.000226,0.000715,0.000715,0.008526,0.012087,0.012087,0.013381,0.013694,0.017309,0.017558,0.072866,0.072866,0.075007,0.081734,0.081734,0.085007,0.120340,0.133484,0.158731
West Virginia,0.009646,0.009646,0.009646,0.009646,0.014997,0.014997,0.019187,0.019187,0.019651,0.027894,0.027894,0.029714,0.029714,0.046015,0.051679,0.054802,0.072326,0.077907,0.083349,0.123962
Wisconsin,0.027752,0.031656,0.068481,0.068481,0.068481,0.068481,0.068481,0.068481,0.079284,0.079284,0.079284,0.079284,0.100017,0.103742,0.109000,0.130450,0.162882,0.164277,0.164874,0.166483
Wyoming,0.002307,0.002736,0.008027,0.028101,0.028573,0.028573,0.047402,0.054064,0.054064,0.054064,0.071775,0.094455,0.094455,0.122712,0.130589,0.135483,0.137109,0.137109,0.180100,0.187457
