,a influenza,bronchitis,cold,contagious flu,fever flu,flu a,flu cold,flu contagious,flu fever,flu how long,flu symptoms,how long flu,influenza a,pneumonia,rsv,sinus,stomach flu,symptoms of flu,the flu,the flu symptoms
2010-08 to 2013-08,0.12698809736541639,0.12698809736541639,0.13994493741977126,0.09026280837863929,0.2982670297025075,0.2505217704675312,0.2890661002814102,0.09026280837863929,0.09026280837863929,0.09026280837863929,0.13994493741977126,0.40368300525703443,0.15323988920797366,0.3585430401671751,0.15323988920797366,0.09026280837863929,0.09026280837863929,0.13788643602993703,0.6318223201229141,0.34793258855598863
2011-08 to 2014-08,0.09545125017050016,0.02094307057394001,0.06101942735356304,0.3386415331260587,0.1793379795116179,0.13946273932864206,0.26068565144646527,0.3386415331260587,0.5153024344414192,0.28596024686463817,0.3386415331260587,0.23039624030595202,0.06101942735356304,0.2659342869141732,0.23039624030595202,0.2659342869141732,0.23039624030595202,0.3386415331260587,0.05843151937616597,0.3386415331260587
2012-08 to 2015-08,0.08905142052932016,0.09043253477003343,0.01770739334412256,0.20665850384661852,0.20665850384661852,0.20665850384661852,0.08905142052932016,0.20665850384661852,0.5237021433822407,0.09043253477003343,0.3854666529763566,0.5237021433822407,0.4932767101582909,0.12213503047262943,0.08905142052932016,0.5415320623953905,0.20665850384661852,0.08905142052932016,0.3854666529763566,0.08905142052932016
2013-08 to 2016-08,0.12377298870636158,0.3028485126319451,0.28266104538264464,0.12377298870636158,0.312759105146188,0.29771204033510174,0.312759105146188,0.12377298870636158,0.3028485126319451,0.28266104538264464,0.312759105146188,0.28266104538264464,0.28266104538264464,0.3028485126319451,0.28266104538264464,0.3379361589716177,0.3028485126319451,0.3889890487163735,0.3703143291696151,0.3889890487163735
2014-08 to 2017-08,0.27427971928223405,0.2100211368850175,0.20515867356388556,0.03627717885170279,0.2100211368850175,0.2100211368850175,0.529118440162669,0.03627717885170279,0.34609582736872463,0.2100211368850175,0.5817362734393501,0.03627717885170279,0.23090823669306046,0.3279829899187192,0.39804162480981164,0.5817362734393501,0.5817362734393501,0.39804162480981164,0.2100211368850175,0.20515867356388556
2015-08 to 2018-08,0.30261473801315736,0.22593656219659514,0.034499045496098904,0.005769970470412519,0.01927002662071415,0.005833311717932635,0.06651486536808722,0.005769970470412519,0.07259137578111521,0.034499045496098904,0.01927002662071415,0.14519972771663275,0.034499045496098904,0.01927002662071415,0.013474575952051477,0.01927002662071415,0.2434689161340899,0.07281000118988248,0.19076070089423264,0.016534519963259636
2016-08 to 2019-08,0.29318708753729245,0.29318708753729245,0.0034133487565993896,0.056899477207558356,0.27692962671348686,0.481935564894211,0.29318708753729245,0.056899477207558356,0.52019096685578,0.39320772540349846,0.18035758910484678,0.19684770623386805,0.5178152279319219,0.29318708753729245,0.18035758910484678,0.18035758910484678,0.19684770623386805,0.29318708753729245,0.08464554639683865,0.228419842995519
2017-08 to 2020-08,0.0583365002655173,0.33709901511444107,0.035982516131918586,0.06677167154562025,0.0583365002655173,0.2655559439782902,0.19379353930997603,0.06677167154562025,0.1786241656105224,0.14197374606466492,0.0583365002655173,0.13325755259956212,0.5040180636598979,0.36693487174021283,0.1290704904011148,0.1290704904011148,0.0583365002655173,0.12560376300458548,0.1290704904011148,0.13325755259956212
Proportion_Significant,0.11875,,,,,,,,,,,,,,,,,,,
