date,Pennsylvania,flu contagious,stomach flu,contagious flu,how long flu,flu how long,bronchitis,the flu,flu cold,the flu symptoms,flu symptoms,symptoms of flu,cold,a influenza,influenza a,rsv,how long does flu last,how long does the flu last,pneumonia,flu fever,fever flu
2017-09-23,0.609258,0.0,0.0,0.0,60.85228661447544,60.85228661447544,714.5585099975419,506.0244347740514,191.18944883917916,64.06998403738051,339.11383963301336,57.337859862596055,8345.557258621446,0.0,0.0,64.86597873567678,0.0,0.0,1030.8513464928517,0.0,0.0
2017-09-30,0.890782,0.0,106.53723173392213,0.0,55.42204005312952,55.42204005312952,601.9203406612314,562.2965596882281,233.6705328626125,0.0,275.2405047234115,74.12554665958436,7805.731337573893,0.0,0.0,64.29160243344431,0.0,0.0,1185.1385980437242,51.35995737585313,51.35995737585313
2017-10-07,0.787036,0.0,150.58940853440856,0.0,144.95898599116418,144.95898599116418,540.0506914158077,622.9602779291346,180.9929624360328,0.0,302.2882487021144,67.67905253552087,8022.847209871495,0.0,0.0,98.5138556331558,0.0,0.0,1094.854716563979,65.02092898100845,65.02092898100845
2017-10-14,0.852218,0.0,172.91793572949535,0.0,115.62071357964858,115.62071357964857,648.4240698332278,675.6685533907228,243.3546946878346,0.0,315.9388590105495,63.46893948757767,7530.63255586338,0.0,0.0,104.04946787886551,0.0,0.0,1069.1583534633012,0.0,0.0
2017-10-21,0.930682,0.0,106.9264579062076,0.0,69.2358373588275,69.23583735882751,671.7742180337906,570.3153634819322,198.9260012206068,0.0,364.3089601148958,67.5312513145578,8907.680698034968,96.29653382903648,96.2965338290365,118.94135467286516,0.0,0.0,1288.718991231932,54.37582384655258,54.37582384655257
2017-10-28,0.975943,0.0,129.90822572106285,0.0,118.70724566886636,118.70724566886636,775.676561804153,635.37341918304,176.94197720966122,0.0,426.2245292865528,86.89006858095371,8470.57825813859,0.0,0.0,147.59393063873583,0.0,0.0,1236.9147895722629,103.77021814054144,103.77021814054144
2017-11-04,1.10597,0.0,174.9341626439923,0.0,73.32588453460389,73.32588453460389,700.1474534472757,639.3630028217754,117.11239809669036,79.64767573001922,311.6207078296723,89.59754254828046,9210.267808895183,0.0,0.0,112.24169921367309,0.0,0.0,1401.2228081813694,55.43462900100079,55.43462900100079
2017-11-11,1.21881,0.0,182.06737758043653,0.0,87.41452692942055,87.41452692942055,905.6685123339068,544.9045442700948,234.8637499213529,72.23250413349018,430.0268697539205,100.05217369981972,11664.16893708243,0.0,0.0,160.7157645172055,0.0,0.0,1412.2487149653696,0.0,0.0
2017-11-18,1.28185,0.0,148.43007769048137,0.0,134.84674402548487,134.84674402548484,671.4636165565804,604.3280166874251,226.3298495999978,57.198128276626896,472.58301635340894,78.05288172993136,11182.411565337905,0.0,0.0,181.63372887326537,0.0,0.0,1490.761905181,150.7810519200227,150.7810519200227
2017-11-25,1.29776,0.0,255.41594129363608,63.56156879814078,170.60145120850115,170.60145120850115,758.9858126184507,440.7047294440218,156.51814180289185,76.57375606187999,412.57578849623445,97.40607894850682,10154.07987748618,0.0,0.0,305.18750209187687,59.93019591736274,0.0,1364.1577821138876,66.46474046706761,66.46474046706763
2017-12-02,1.35232,49.83998876651194,272.1255014525556,0.0,152.48700919691777,152.48700919691777,988.2942067547444,533.408956238617,254.124729796218,133.70195422324568,602.0138482828802,100.8339663039926,10324.614267073648,0.0,0.0,334.3742429522805,0.0,0.0,1682.781205086991,103.20051587784609,103.20051587784606
2017-12-09,1.3888,0.0,294.7436986686835,0.0,151.30032888505983,151.30032888505983,887.893912476546,785.1908211097898,242.63129895441745,73.91047971326608,460.3133954133508,103.3063485982805,10309.039606993285,64.36405802162055,64.36405802162055,315.306218735404,0.0,76.6955239591177,1501.5859577577432,109.50544973539154,109.50544973539154
2017-12-16,1.46136,69.09140853096434,383.9146007348687,104.79526518654072,136.30689695084524,136.3068969508452,805.8084068999369,781.3689312529738,246.3059649299236,116.3110066901184,574.2647423291392,89.60968713804833,13104.39940193976,52.96217068297637,52.96217068297637,456.3441392786172,59.322129099936966,0.0,1457.0365713450085,0.0,0.0
2017-12-23,1.6969,76.5708151605324,672.9859392587412,145.99621767712225,379.60429816775246,379.60429816775246,1041.5968290259923,942.8530198277324,358.39265845807,119.21787608324637,816.6177799203307,242.79294407490931,11864.38809013281,114.14847738248582,114.14847738248582,661.5661991875445,113.3064155303306,118.95086487026629,1587.5071178125436,118.17867780792662,118.17867780792662
2017-12-30,2.52226,196.3320976448232,933.712244968347,164.85223240788235,357.96301344554155,357.96301344554155,1059.4209108388177,1269.9070848727904,366.8557078548349,218.3291368983193,1230.3898262990124,257.64211395316966,18328.477319587877,68.6605038584742,68.66050385847419,830.4243523867016,124.65054572316308,134.08519679396238,1646.0819601910453,130.4556528958125,130.4556528958125
2018-01-06,2.57178,215.2195419861044,738.7364313885024,221.1804116222037,460.24852649359326,460.2485264935932,1136.11878605167,1463.9568934496792,348.7689125805874,182.3947632961775,1188.2965207730056,209.2952359708096,23876.75483257674,83.9180246177337,83.91802461773369,794.4099813837369,202.7641136766668,152.49386002116586,2038.9482836136144,151.91431352692524,151.91431352692527
2018-01-13,3.01914,223.4424590201488,765.3174823380253,240.4617453831805,549.177009591787,549.177009591787,1077.0142850567083,2499.7505489115256,514.7939728777244,316.6637408312071,2157.681157387064,440.270014035168,13536.95312911399,135.45187126761198,135.451871267612,690.6859948159594,206.50330657529167,148.230153116563,2180.328887122063,210.9874395988657,210.9874395988657
2018-01-20,4.01475,325.2900803185421,825.0591104244356,373.7479384663234,814.1012610786564,814.1012610786564,1057.7049736706504,3722.419672274808,524.3226942052376,449.02989100658925,3070.441151790993,687.9089599909812,12314.891545630957,294.10923905413387,294.1092390541339,757.0098742838103,315.0019369259622,161.54217025310172,1789.4825417189757,339.8202081510802,339.8202081510802
2018-01-27,4.94172,449.07574127781066,886.147598993414,455.720376000468,983.5662589457314,983.5662589457312,1046.397593271844,5058.033476430291,593.359383139043,561.8084761171075,3979.262178501581,858.7654992101508,10085.998655632364,311.2298344272396,311.22983442723967,755.9805677142764,291.2172354263065,259.02853421678384,2042.8867671918515,437.581969988672,437.581969988672
