date,Washington,flu symptoms,pneumonia,the flu,stomach flu,flu how long,how long flu,bronchitis,rsv,flu cold,contagious flu,flu contagious,a influenza,influenza a,how long does flu last,symptoms of flu,fever flu,flu fever,the flu symptoms,flu virus,influenza symptoms
2010-10-09,0.510041,0.0,608.6949043883994,0.0,0.0,473.1042033558169,473.1042033558168,571.2625821562997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-16,1.04007,0.0,927.7024495595014,403.51698462192576,0.0,0.0,0.0,381.9822498043373,0.0,308.6601083353148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-23,0.904393,289.1690530996243,993.912632314462,610.8149855336882,0.0,0.0,0.0,474.03725385053343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-30,0.95511,366.7918592201938,1058.870740859925,405.91748155270255,0.0,0.0,0.0,418.1753940916575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-06,0.78637,306.9087380723097,1089.1837087534386,308.2620713835956,239.28908728614093,0.0,0.0,531.9071280518275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-13,1.06724,244.3639903360481,686.2171416629017,335.6574907323375,0.0,0.0,0.0,399.6222743405531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-20,1.33132,451.39633681526334,854.7963990849901,340.66008315267777,393.9702867095332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-27,1.87333,0.0,787.1246498039002,0.0,0.0,0.0,0.0,563.5894959205874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-04,0.981767,452.46316710031215,1036.1231514728238,358.39274722520315,0.0,0.0,0.0,773.6000650902462,311.8077985824896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-11,0.96463,245.0898507458416,885.3396557561323,247.09744768198576,0.0,0.0,0.0,324.7107473560247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-18,0.647549,298.0319020533668,864.3992236926279,234.7409007597756,0.0,0.0,0.0,439.5603272430541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-25,0.387097,273.18897741057265,719.5998743234718,0.0,415.0506771765537,0.0,0.0,299.43903632825084,0.0,542.6977310487423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-01,2.45902,367.6565825551488,948.423001033786,434.5968413622905,0.0,0.0,0.0,796.9607579259202,418.0130434462896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-08,1.5224,411.8889817503986,1018.1736042537724,280.5676996485981,375.2545830585289,182.22112507036343,182.22112507036343,605.8168804090806,164.73913839202822,272.3138860620875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-15,1.21906,260.7425363278057,1028.1406786624182,264.05405207413315,387.2387264432043,0.0,0.0,544.9312814187344,198.5406833409453,169.93048819144113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-22,0.721046,349.3158885802316,879.9217905980681,277.5545799767294,271.2718979080958,0.0,0.0,552.201538487197,329.2812848056772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.73012206905548,0.0
2011-01-29,1.81388,484.3799329181815,1151.4781982779264,352.9210058251371,346.1100390910779,0.0,0.0,717.5627575685423,342.1414456204778,207.87450158911383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-05,2.81109,323.32787628241084,982.3651105996668,363.09948171052207,264.1807713882363,0.0,0.0,657.2133508789568,405.0672728281813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.38791746372092,0.0,0.0
2011-02-12,2.16644,252.3795622257645,1398.3683439815236,434.2820992100257,307.1313524040819,0.0,0.0,489.79198658389714,453.5690869937129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.39786094277432,223.39786094277432,0.0,0.0,0.0
2011-02-19,4.14244,305.8914549593524,1143.2910550221434,551.5959295042586,308.39445883482193,0.0,0.0,799.1162248113546,691.4251745083249,174.15371690498307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-26,3.80721,295.36744619347377,1341.4634050819718,315.8962424351631,282.20229404632926,0.0,0.0,835.2692695910602,379.6871400921613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-05,3.46903,394.1717396024536,1299.0457177747162,485.9219080556377,270.6661908207732,0.0,0.0,794.1587799634284,661.2774887836866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.3489293089628,160.34892930896282,0.0,0.0,0.0
2011-03-12,3.04946,497.0717658912616,1286.0875995438178,522.7772879145915,385.3426947288454,0.0,0.0,432.2574332288011,606.6151055693958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.67346246445183,0.0
2011-03-19,3.64271,566.5590494458842,1049.3830483953554,317.3001285808538,290.5163226282989,214.5867610681665,214.5867610681665,820.8673342967089,267.5772786929598,263.61536540376227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-26,3.06081,414.7349887441355,916.4017583999524,457.4593229695324,195.10333146322108,0.0,0.0,604.4280422060567,377.64566422143537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-02,1.54696,321.4633119615788,1180.807902268224,531.5643849931698,330.64440862529494,0.0,0.0,502.6339876906136,358.93056258323105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-09,0.79858,452.2856457343197,1154.3643516410284,364.99258575819465,280.0077828393231,0.0,0.0,487.6083182849971,259.7896235169707,184.7036864075809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-16,0.970497,250.82333291759295,875.5614825065875,169.88423891341486,242.9564533801164,0.0,0.0,354.98291796929846,151.3812273131565,0.0,0.0,0.0,0.0,0.0,0.0,156.99561273631372,0.0,0.0,0.0,0.0,0.0
2011-04-23,1.38714,184.2124862611555,919.7139582760497,0.0,274.45449539028107,0.0,0.0,290.61409987213165,241.3799203015245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.949472953563,0.0
2011-04-30,0.649087,290.53995304959443,695.4602007906786,239.5175453779821,235.06331011291425,0.0,0.0,490.8572290699624,203.32128513504188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.85702284403013,0.0
2011-05-07,0.720721,0.0,948.6719594194674,194.62819669577692,166.84812460088844,0.0,0.0,366.2027655278088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-14,0.580781,158.10291322849494,935.3889078524948,157.7074784511067,159.41416167844417,0.0,0.0,403.99212844594047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
