date,Massachusetts,bronchitis,cold,symptoms of the flu,flu symptoms,rsv,sinus,pneumonia,stomach flu,the flu symptoms,flu how long,how long flu,the flu,strep,strep throat,contagious flu,flu contagious,symptoms of flu,fever flu,flu fever,how long does flu last
2010-10-09,0.604621,436.7494465017382,6274.646268351033,259.8471729104379,0.0,0.0,991.2198336466988,548.9795073934131,0.0,0.0,0.0,0.0,324.56383865769857,545.1337040672855,327.97416816591993,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-16,0.887866,384.70896514618994,6358.411082596258,0.0,0.0,0.0,981.1050288968008,610.4375710583096,252.64880213697623,314.9511211005075,0.0,0.0,0.0,732.6720409804575,555.0940257458923,0.0,0.0,210.14946826116005,0.0,0.0,0.0
2010-10-23,0.744806,771.8041033771674,7257.165518956747,0.0,301.3128924774929,234.2230666979364,886.0660446971096,788.2975797546993,0.0,0.0,0.0,0.0,483.91002368930896,685.7251286778861,449.5706160381896,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-30,0.783721,537.2638942685619,5911.780183324255,0.0,255.26173847392343,0.0,945.0388388774757,930.9432646714196,0.0,0.0,0.0,0.0,463.3480517700173,985.7554792277474,659.9852218878408,0.0,0.0,289.6883627637736,0.0,0.0,0.0
2010-11-06,0.812421,524.2557005606161,6678.095995978861,0.0,323.7491214859552,0.0,875.1821568607933,1090.8947330100686,0.0,0.0,0.0,0.0,496.9632295406489,605.7246603706969,584.1212556909646,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-13,0.732931,617.4939729084371,7335.019661285972,0.0,286.6956783803963,0.0,945.0292920828524,958.6626243433892,224.5165522665571,0.0,0.0,0.0,437.73583404111343,942.6559754370224,668.5205222176821,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-20,0.803486,601.3365250129325,7392.461732226038,0.0,352.94481073628447,0.0,1133.124314200348,823.7542555032304,0.0,0.0,0.0,0.0,523.1582998969354,839.83449169455,661.1161018788869,0.0,0.0,0.0,208.52762667863797,208.52762667863797,0.0
2010-11-27,0.958095,661.7375357162515,7255.765435236181,0.0,321.4604047696833,0.0,1220.2911914019844,996.7452764749604,0.0,0.0,0.0,0.0,319.0187171323267,760.786029927962,436.5184001556792,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-04,0.903185,524.5609638545809,7514.938422602479,0.0,334.71679919246543,0.0,1081.5890471150808,1333.5188554271592,200.8247372538721,0.0,0.0,0.0,0.0,953.1495362040672,776.535653514917,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-11,0.96749,394.8755390262303,9032.292594948036,0.0,445.3225172200519,0.0,1042.3327787978778,940.8077645185384,248.82229492299075,0.0,0.0,0.0,0.0,869.4644971049981,515.9605517047652,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-18,1.12005,642.771973982865,9304.02743225597,0.0,261.75771359552306,0.0,1328.0876819225891,742.6895755301506,251.84308162734223,0.0,0.0,0.0,403.3935255661327,1120.3556424777137,752.3661251022655,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-25,1.30649,482.2549161567548,8332.991134294592,0.0,251.51110313834948,303.9077120709151,1361.1541911971692,758.9242084170799,302.1778148792378,0.0,0.0,0.0,255.9938037526201,970.81046806852,750.5615975854708,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-01,1.4601,574.6060995214058,8248.907817695846,0.0,465.4788608916385,0.0,1409.8746772928396,786.7793409505368,316.3944475009872,0.0,0.0,0.0,464.1978285705966,692.7044961550744,466.1034747875028,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-08,1.17914,666.6683143479406,7242.596728191724,0.0,389.7413802620567,0.0,1544.2210719286786,1048.504393256473,511.9844805660938,0.0,0.0,0.0,320.97574936115245,862.6070832576113,693.2480545024744,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-15,1.69167,694.4127664682661,7296.648344527456,0.0,488.19530306004873,217.90159434584223,1178.5589713554948,1034.1641183142503,157.64401387510145,0.0,0.0,0.0,388.89705187013845,905.765025269362,674.3867758296174,0.0,0.0,303.93424675586607,0.0,0.0,0.0
