date,Oklahoma,the flu,flu symptoms,rsv,pneumonia,how long flu,the flu symptoms,flu a,symptoms of flu,flu how long,strep,stomach flu,contagious flu,sinus,flu contagious,strep throat,bronchitis,fever flu,how long contagious,type a flu,flu type a
2011-03-19,3.2034,773.2847655121496,0.0,855.1266667943074,0.0,0.0,0.0,0.0,0.0,0.0,1189.5329431596583,0.0,0.0,1423.8547846656195,0.0,1008.7633978639062,0.0,0.0,0.0,0.0,0.0
2011-03-26,1.86879,572.6223195489051,0.0,1056.4198151388157,1172.092328476349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1133.7285856803642,0.0,0.0,580.3630202457995,0.0,0.0,0.0,0.0
2011-04-02,1.21359,0.0,0.0,716.459461429856,1291.5102767640994,769.7781370386701,0.0,0.0,0.0,0.0,1667.732958853912,602.5845614188937,0.0,1490.0596713730308,0.0,1219.43230249494,590.2122044169471,0.0,0.0,0.0,0.0
2011-04-09,1.56685,0.0,0.0,0.0,1333.1436133958396,0.0,0.0,0.0,0.0,0.0,983.5495331295824,635.7353185416019,0.0,1839.1320769115528,0.0,640.374041576728,1206.1187056769063,0.0,0.0,0.0,0.0
2011-04-16,0.674252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1678.5809233477337,0.0,0.0,926.9386052666628,0.0,1188.76217193078,0.0,0.0,0.0,0.0,0.0
2011-04-23,0.592969,0.0,0.0,0.0,775.8124168251485,0.0,0.0,0.0,0.0,0.0,1324.8401792065615,0.0,0.0,957.624818342424,0.0,1046.6962943514184,0.0,0.0,0.0,0.0,0.0
2011-04-30,0.293686,0.0,0.0,0.0,792.1664471122139,0.0,0.0,0.0,599.3032269828165,0.0,1335.3792100738187,0.0,0.0,1531.2659739301362,0.0,815.925902811462,0.0,0.0,0.0,0.0,0.0
2011-05-07,0.310421,0.0,0.0,0.0,730.408468805427,0.0,0.0,0.0,0.0,0.0,1485.4841492779894,0.0,0.0,1445.1110287291424,0.0,985.680100034456,0.0,0.0,0.0,0.0,0.0
2011-05-14,0.387973,0.0,0.0,749.4527251590374,0.0,0.0,0.0,0.0,0.0,0.0,1161.1898964109453,0.0,0.0,1339.244540377107,0.0,836.8896524708497,0.0,0.0,0.0,0.0,0.0
2011-05-21,0.215703,0.0,0.0,0.0,586.5980115074267,0.0,0.0,0.0,0.0,0.0,1158.351435881785,0.0,0.0,1525.5986377991785,0.0,635.0591030461369,0.0,786.587021769164,0.0,0.0,0.0
2011-05-28,0.229226,0.0,0.0,0.0,1057.8673592812122,0.0,627.7785937510921,0.0,0.0,0.0,1126.2959873269924,0.0,634.9327500890947,0.0,0.0,736.2605047185812,0.0,0.0,0.0,0.0,0.0
2011-06-04,0.047824,0.0,0.0,0.0,816.2462182378914,0.0,0.0,0.0,0.0,0.0,763.3132540830155,0.0,650.0304411784657,1192.1333047182277,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-11,0.195886,0.0,0.0,0.0,1300.5142335511312,0.0,0.0,0.0,0.0,0.0,725.1903010850567,0.0,0.0,1012.295969908551,0.0,909.3679729389488,598.639662939798,0.0,0.0,0.0,0.0
2011-06-18,0.297619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1054.0982342586155,0.0,0.0,693.0281400561448,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-25,0.0,0.0,0.0,0.0,890.1297253889261,0.0,0.0,0.0,0.0,0.0,1025.9455129730109,0.0,0.0,869.9051071458305,0.0,716.4122210710904,0.0,0.0,0.0,0.0,0.0
