date,New York,how long flu,flu how long,contagious flu,how long does the flu last,how long does flu last,symptoms of the flu,the flu symptoms,stomach flu,flu a symptoms,a influenza,influenza a,flu contagious,symptoms of flu,flu cough,flu symptoms,flu medicine,the flu,bronchitis,fever flu,flu fever
2017-05-27,1.64255,40.32467607983712,51.464617473604605,0.0,0.0,31.0651276770788,0.0,29.21226803145653,87.75367691699896,0.0,32.49980413020903,32.49980413020903,33.28688919687368,0.0,30.99622447309404,163.16397078870617,28.29368353552021,221.76671699656384,487.5085325442464,36.45153179941161,36.45153179941161
2017-06-03,1.66997,0.0,0.0,0.0,0.0,0.0,0.0,28.61873861476336,123.85467251530898,0.0,40.14537945936454,40.14537945936454,0.0,32.05756432879964,0.0,148.78509887420412,37.463779975744856,194.77827294654207,500.1614007181112,53.7244046221726,53.72440462217261
2017-06-10,1.43437,47.155839876385,37.86061860114031,0.0,0.0,0.0,0.0,0.0,139.1355932732361,0.0,0.0,0.0,31.812486315684,35.71163548961248,0.0,143.04557028419143,38.0515924623051,271.57473487357163,439.81093671316034,36.98656232248556,36.98656232248557
2017-06-17,1.36968,32.52467159754848,30.18048659480112,0.0,0.0,0.0,0.0,0.0,91.55812218318944,0.0,0.0,0.0,0.0,0.0,30.077034351326247,117.35892782984772,0.0,168.67972462287597,361.20085034283176,32.86595898206898,32.86595898206898
2017-06-24,1.38908,42.08855476879848,56.23898589633591,0.0,0.0,0.0,0.0,0.0,115.40997567406912,0.0,0.0,0.0,0.0,39.94565299267526,30.706819354416933,119.5190532511826,0.0,117.7702390674676,278.3369554548982,30.97348789195969,30.97348789195969
2017-07-01,1.18149,29.5813586896835,0.0,0.0,0.0,0.0,0.0,33.140487080360906,92.3007715313462,0.0,0.0,0.0,0.0,40.66842270768121,0.0,135.72283759659945,34.287109660566145,149.6231075593929,332.7061410059755,51.27918478057703,51.27918478057703
2017-07-08,1.1153,0.0,38.19031304897451,0.0,0.0,0.0,43.62682535278364,0.0,125.77477955487612,0.0,0.0,0.0,0.0,46.77156470034298,0.0,149.55054583121046,57.65656855669532,158.7060038086579,439.1031939203189,38.05860215105046,38.05860215105047
2017-07-15,0.998308,62.22012027471916,54.67619718978333,0.0,0.0,0.0,0.0,0.0,98.6272426493844,31.355511242668676,0.0,0.0,37.91113099245428,42.38374664540419,0.0,160.75827595370998,35.07042896871141,203.00736542323168,350.65978057002945,44.78726238183528,44.78726238183528
2017-07-22,1.07903,50.695722927269394,42.199331106955576,73.67807721115075,0.0,0.0,0.0,0.0,76.32905560845003,0.0,0.0,0.0,0.0,42.591245730664326,30.42251279809364,127.55271193497124,0.0,135.1726542277423,342.9102776689979,37.08243873531444,37.08243873531444
2017-07-29,0.944611,0.0,0.0,0.0,0.0,0.0,0.0,30.060629236449767,102.84679207659634,0.0,0.0,0.0,0.0,0.0,0.0,139.5405162495642,32.26642715921796,165.1301795228148,325.7160896399141,32.44676759282577,32.44676759282577
2017-08-05,0.961125,32.1028585788008,36.15468259495824,0.0,0.0,0.0,0.0,37.30190866360377,116.75601840449482,29.14152293798648,0.0,0.0,0.0,0.0,30.82001356254501,113.18990751139432,47.11744140487421,261.1599999063983,264.67551689205555,50.27252768321672,50.27252768321672
2017-08-12,0.904343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.63067247225059,0.0,0.0,0.0,0.0,38.072777539495945,32.89380937705852,148.96055399617146,0.0,140.60414087146327,285.0716516125755,34.72259934798592,34.72259934798592
2017-08-19,0.893612,0.0,0.0,0.0,41.27902012093089,0.0,0.0,0.0,99.18256697581764,0.0,0.0,0.0,0.0,44.897272555914384,0.0,150.5208883596983,0.0,153.54583111313195,278.0751193484091,0.0,0.0
2017-08-26,0.899017,47.16782810621383,39.44240855663412,0.0,0.0,0.0,0.0,0.0,70.45312064339544,0.0,0.0,0.0,0.0,0.0,0.0,112.9061413642377,0.0,231.3307722487967,322.4262393795521,0.0,0.0
2017-09-02,0.795934,56.75256014539854,49.38670885335858,0.0,0.0,0.0,0.0,38.23856442560537,78.4982161700057,29.463872652202053,0.0,0.0,0.0,0.0,30.89865971439582,143.73519464146415,0.0,188.10658402662867,312.5411192458304,48.55372695141224,48.55372695141224
2017-09-09,0.932594,47.87228209594792,0.0,0.0,0.0,27.71277750818888,42.30758460139734,47.08055406308328,99.6950523184379,31.289558517655564,0.0,0.0,0.0,45.69052885641639,0.0,217.75708059250988,56.0414262797662,289.4833002781005,357.9060824157191,58.58279319717399,58.58279319717399
2017-09-16,0.904698,55.21430594883885,47.46110286811185,0.0,0.0,0.0,26.32276334621384,51.04146116602709,94.36952395807752,0.0,0.0,0.0,0.0,57.29635000040011,52.59995070262296,226.93157498912535,0.0,381.4078866414117,458.9034988501928,35.82049650270251,35.82049650270251
2017-09-23,0.938622,89.53301271994272,56.57987895726902,0.0,29.861821714683803,50.318178088830585,32.57821427445801,44.03977930452948,98.52348378717268,36.762280601567824,0.0,0.0,26.990844535978574,68.5120788693844,33.07275580178977,247.5671750178814,44.9935420663292,444.3311160983562,454.8407826811589,52.73433022520428,52.73433022520428
2017-09-30,1.24783,63.30711232334054,89.55269744092799,42.65081183621406,0.0,0.0,33.62270416709554,49.82493715472897,100.70126803690928,27.196236575331017,36.12946393654758,36.12946393654757,29.666470650014336,85.98806902928924,55.0209089461546,270.3340716136605,29.993596734462013,511.2721499034309,501.40963724339775,46.54890397497312,46.54890397497312
2017-10-07,1.18211,74.32622993808559,81.82483196989678,0.0,44.502957168360304,29.14636653207845,39.19336907278694,59.63427333802517,92.99824245256974,27.8026838293378,31.517604344897048,31.51760434489705,0.0,52.530563190037576,31.710959496971224,246.7559947519832,51.1118501353804,602.9259260582995,544.7099073680782,71.5068310728694,71.5068310728694
2017-10-14,1.0482,92.7272666882488,73.36477440325055,0.0,0.0,31.470915335938138,52.215186502736685,77.84152140193183,122.6658679734716,0.0,0.0,0.0,61.76646382600749,58.10096131358719,0.0,301.6566917967671,71.92477768763814,624.1718853843645,508.3516344919238,75.93226070304047,75.93226070304047
2017-10-21,1.37649,112.63268189509613,125.67031008458392,30.81393989791362,29.06915023418397,47.57343276103257,0.0,45.2038768396514,144.2711863143319,30.291212219738888,32.169699361265415,32.169699361265415,45.35697679938286,61.75556409143336,43.04321623031407,293.12286742656875,35.15533331280454,617.7472841898326,549.5113185284043,71.70476984503816,71.70476984503817
2017-10-28,1.36251,74.843676961525,82.42656400805373,0.0,0.0,0.0,32.240494646671834,86.94878308528877,107.49352024225576,40.25224659455672,0.0,0.0,0.0,80.97788302842524,29.56467074035512,362.0591924864365,47.138479448497776,499.0673733720886,593.0834964339953,35.41103556768653,35.41103556768653
2017-11-04,1.51156,92.29286372172294,80.0215551941226,33.87284643331028,0.0,26.83054033650841,0.0,59.25385015983717,140.56612243005256,0.0,41.21105090720497,41.21105090720498,26.239422763591037,64.78892025107206,49.79107721696797,338.5877613177646,47.63574861969327,515.4322382154749,594.3170036839826,94.09310832784816,94.09310832784816
2017-11-11,1.61033,97.85893160394514,102.1279634297406,0.0,31.17241884413923,46.68135937616245,0.0,0.0,124.08930978927654,0.0,0.0,0.0,39.7462172769816,82.99122410787604,50.07118545545621,299.6288598286277,39.55228624155986,557.3971275370111,637.2368037551227,64.59344817353393,64.59344817353393
2017-11-18,1.6294,100.75404716378208,108.29993734892044,49.02837472039764,30.84220243839033,40.85735182902092,46.82702997720164,63.97566420928682,167.25078619199,0.0,32.17480603738488,32.17480603738488,46.37890707134927,92.27100178007052,50.96123384548575,358.46661259864806,57.19456338197837,543.893864967784,714.5090386235553,77.34180226862684,77.34180226862684
2017-11-25,1.90003,101.99970372577978,106.52561831614238,66.3774634982719,0.0,0.0,0.0,75.94626880073677,178.18672498246193,31.015100219095405,44.299091387861765,44.299091387861765,45.74808156412951,64.15253143969495,0.0,327.1445445567208,0.0,445.41510820915056,685.3372775579638,75.92739709950993,75.92739709950995
2017-12-02,2.10008,121.68047517390626,154.51120140667786,45.21912799703937,53.39659736686357,72.02163728932865,60.72793523667228,83.02410838562093,263.11202549860167,34.90274580326016,0.0,0.0,55.179657121559,114.08262863955184,38.53329096108784,430.4576520086637,45.83699332629934,598.5260545397703,789.9510944582205,70.15925158916787,70.15925158916787
2017-12-09,2.39392,107.43869971685436,86.08460409219686,56.14375060579351,0.0,51.31473251373796,87.73729257596344,78.52895454776598,293.81862922362643,61.70949350097318,35.80638757901782,35.806387579017816,48.86870384989069,88.05543032474336,38.33979517821336,469.6741510803806,79.4151938593592,645.2334561333597,772.8108608670852,93.94006277665346,93.94006277665346
2017-12-16,2.65723,165.19532137317174,164.367156249921,70.35336344995756,0.0,53.74457502607373,48.37533210871093,89.00789684464382,307.7082433669723,54.41207113183153,36.06931132010254,36.06931132010254,56.913583338465976,101.57098678298074,73.87156942676552,536.0768858408737,79.11419354873951,742.4908310654247,758.454893466094,47.67981901287175,47.67981901287176
