date,Minnesota,influenza a,a influenza,pneumonia,influenza b,stomach flu,influenza symptoms,rsv,flu symptoms,the flu,how long contagious,symptoms of flu,the flu symptoms,influenza contagious,flu how long,how long flu,strep,sinus,strep throat,influenza a symptoms,symptoms of influenza
2010-10-09,0.5748,0.0,0.0,1168.8424170116002,0.0,0.0,0.0,0.0,578.965503477595,0.0,0.0,0.0,413.0222109414936,0.0,0.0,0.0,792.0021086712533,1208.39332028001,548.6735357450979,0.0,0.0
2010-10-16,0.541293,490.84782393413377,490.8478239341337,1698.504592618587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,926.254026356184,1446.115344511826,708.2659950154257,0.0,0.0
2010-10-23,0.521162,0.0,0.0,1320.9088975957436,0.0,0.0,0.0,0.0,0.0,910.0499356187264,0.0,0.0,0.0,0.0,0.0,0.0,656.0850830080523,1356.9846393996208,544.3513127255138,0.0,0.0
2010-10-30,0.637716,0.0,0.0,850.3919470199177,0.0,0.0,0.0,0.0,370.0068184651032,463.3836756368009,0.0,0.0,0.0,0.0,0.0,0.0,454.2553475404191,1230.995561544436,0.0,0.0,0.0
2010-11-06,0.805802,0.0,0.0,1438.5331396392075,0.0,0.0,0.0,0.0,0.0,462.32787873915095,0.0,0.0,0.0,0.0,0.0,0.0,627.3137275551097,1488.5312543933303,979.9783719456468,0.0,0.0
2010-11-13,0.82012,0.0,0.0,916.136092615853,0.0,0.0,0.0,0.0,0.0,478.2397786377637,0.0,0.0,0.0,0.0,0.0,0.0,908.2172104358953,912.1859413696912,645.9858251891305,0.0,0.0
2010-11-20,0.702763,0.0,0.0,814.2063125598379,0.0,0.0,0.0,0.0,0.0,716.5612620573116,0.0,0.0,0.0,0.0,0.0,0.0,1453.557294783013,1139.021237930394,762.8817262859283,0.0,0.0
2010-11-27,1.10096,0.0,0.0,1182.9267632899446,0.0,0.0,0.0,0.0,0.0,611.9089581527023,0.0,0.0,0.0,0.0,0.0,0.0,1076.2672804299484,1808.8448188165332,956.158330103573,0.0,0.0
2010-12-04,0.855418,0.0,0.0,1267.3340315437374,0.0,469.5894846858685,0.0,0.0,419.763300690683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1379.6251267849125,1566.277974683299,809.5721166328668,0.0,0.0
2010-12-11,0.584334,0.0,0.0,1334.9033028065014,0.0,0.0,0.0,0.0,414.4903924781464,426.2214060078764,0.0,0.0,0.0,0.0,0.0,0.0,754.141089213895,1336.7381678266552,634.4007463547457,0.0,0.0
2010-12-18,1.16119,0.0,0.0,814.8867127973022,0.0,0.0,0.0,0.0,0.0,433.4342397432538,0.0,0.0,0.0,0.0,0.0,0.0,975.4329055290226,794.9652370327133,766.5888903641793,0.0,0.0
2010-12-25,1.0122,0.0,0.0,683.5134032389493,0.0,708.6106634902646,0.0,0.0,0.0,495.6147284811823,0.0,0.0,0.0,0.0,0.0,0.0,1521.2420677548728,1569.8518941261325,698.666794424117,0.0,0.0
2011-01-01,1.10533,0.0,0.0,1073.3223245082586,0.0,879.7152098109822,0.0,0.0,481.3187465202906,424.6610560214097,0.0,0.0,0.0,0.0,0.0,0.0,1384.984068969933,2089.169538880557,1069.7521383468047,0.0,0.0
2011-01-08,1.37079,0.0,0.0,1370.768756827707,250.27620279374463,407.14710122186784,0.0,271.78193641723163,525.9892526770531,306.8261880843177,0.0,0.0,0.0,0.0,0.0,0.0,1213.5610163844788,1563.1794007243996,825.6004113564665,0.0,0.0
2011-01-15,1.06915,0.0,0.0,929.5590515286714,0.0,405.56676222834255,0.0,242.9710602025473,284.703340947211,483.7866371075364,0.0,0.0,0.0,0.0,0.0,0.0,1121.210606600406,1202.0263986823063,703.2732171193991,0.0,0.0
2011-01-22,1.83651,0.0,0.0,1221.6574900568132,0.0,444.3880826813089,230.81829772102583,286.872934574216,399.0155222472493,330.8260277269664,0.0,0.0,0.0,0.0,0.0,0.0,1496.5250034314436,1634.4574596578773,1073.820768818238,0.0,206.0778743901845
2011-01-29,1.98138,0.0,0.0,876.7066049261867,0.0,365.683856119968,0.0,526.602289183132,380.73303978589263,489.5044208258022,0.0,0.0,0.0,0.0,0.0,0.0,1827.445117556603,1289.2889522867629,1282.768277746091,0.0,0.0
2011-02-05,2.56631,0.0,0.0,1019.0718673009176,0.0,436.2641372126117,0.0,626.0632428240981,331.1829469844215,0.0,189.52439949884527,0.0,0.0,0.0,0.0,0.0,1838.2637271811652,1590.5533240504665,1405.056296412743,0.0,0.0
2011-02-12,2.51155,473.06059087812366,473.0605908781237,1582.878563084953,0.0,319.28611507027006,211.02581185013952,547.1006216924906,0.0,393.8055706221987,0.0,0.0,0.0,0.0,0.0,0.0,1793.0229440914843,1653.9908379733797,1317.1060580827927,0.0,0.0
2011-02-19,3.1493,220.36084057943197,220.36084057943197,1607.5599645276798,0.0,473.8475196545101,443.731308133775,613.3408171045419,589.5915078987697,671.684293012328,0.0,0.0,0.0,0.0,0.0,0.0,1807.2547569637584,1885.4765184917808,1071.2193100595396,0.0,0.0
2011-02-26,2.98699,269.3118882577428,269.3118882577428,1354.445991152116,215.9017803959037,0.0,0.0,789.8337344001101,520.9278884180281,602.8364387180694,0.0,0.0,218.65350592230345,0.0,0.0,0.0,2146.3901264781,1716.814131993105,1450.3119979144394,0.0,0.0
2011-03-05,3.23099,246.2183159132214,246.21831591322143,1335.982715525424,0.0,274.02196655597623,230.15783531893604,755.5882170908748,415.9862029595122,382.69768177982326,206.3291174429503,0.0,0.0,0.0,0.0,0.0,2300.3123438121,1499.2913691475117,1604.0586131385894,0.0,0.0
2011-03-12,2.84067,339.9876540905884,339.9876540905884,1546.0385964398236,0.0,264.3904385052985,0.0,748.4374803854038,703.6901996863786,384.2769946243575,0.0,0.0,0.0,0.0,0.0,0.0,2032.863955822652,1680.6198012387083,1294.1387752938565,0.0,238.1226608305625
2011-03-19,2.80579,0.0,0.0,1285.6452331533808,0.0,391.2201795194296,0.0,458.5665241334753,413.0356007720576,373.1605322768144,0.0,0.0,0.0,0.0,0.0,0.0,1926.121255499217,1451.2673226901352,1321.2652807382317,0.0,0.0
2011-03-26,2.38585,253.67315571051864,253.67315571051864,1469.0137254775575,0.0,262.9479513170138,0.0,298.751275094048,295.2301263757017,318.0482213528616,0.0,0.0,0.0,0.0,0.0,0.0,1612.915952829939,1998.895012436357,1248.459335019067,0.0,0.0
2011-04-02,2.18437,0.0,0.0,1081.6831761461206,0.0,294.30813927757305,0.0,324.9771104900611,310.9251197372976,0.0,0.0,0.0,343.7846593987548,0.0,0.0,0.0,1564.9056602135854,1380.5607209224504,1044.8052855683518,0.0,0.0
2011-04-09,2.04599,0.0,0.0,720.4300033229296,0.0,0.0,0.0,205.3537040143941,222.47048796439785,248.01677115915783,0.0,0.0,0.0,0.0,245.7350668317379,245.7350668317379,1717.0122723192858,1196.3308183754073,1258.1843664411613,0.0,0.0
2011-04-16,1.40235,0.0,0.0,1162.414041772155,0.0,271.730687393554,0.0,340.73608649771694,222.04961948078764,313.8061433000461,0.0,0.0,0.0,0.0,0.0,0.0,1647.4509779057105,1114.7532096903983,928.848607352478,0.0,0.0
2011-04-23,1.32867,0.0,0.0,938.5023053361676,0.0,422.3022383653481,0.0,230.6461360133036,0.0,261.1768442275415,0.0,0.0,0.0,0.0,0.0,0.0,1491.858013757449,1260.7483802642182,1032.983546192984,0.0,0.0
2011-04-30,1.01429,0.0,0.0,691.9419972876723,0.0,290.96718410488137,0.0,222.05047875143907,231.5121576446381,259.54988891049686,0.0,0.0,0.0,0.0,0.0,0.0,1366.3439705758838,1281.5888230344135,900.4268176151501,0.0,0.0
2011-05-07,0.588957,0.0,0.0,864.01460351279,0.0,0.0,0.0,0.0,0.0,200.5512063876844,0.0,0.0,0.0,0.0,0.0,0.0,1323.4929802862332,1243.8778213544897,866.8808148579068,0.0,0.0
2011-05-14,0.582165,0.0,0.0,991.8216533151332,0.0,318.4119626068668,0.0,258.8329696631862,306.25764366102794,315.1589921058818,0.0,0.0,0.0,0.0,0.0,0.0,1378.8575483076831,1126.6521324359517,676.2084760074982,0.0,0.0
2011-05-21,0.756474,0.0,0.0,913.9113156768418,0.0,0.0,0.0,236.33553777661024,264.1604375312546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1428.0571400584183,1576.2574640271478,1038.9915289250812,0.0,0.0
2011-05-28,0.59795,0.0,0.0,268.6429651053245,0.0,255.43936169629885,0.0,0.0,285.46770342207805,0.0,202.3533058780321,0.0,0.0,0.0,0.0,0.0,1393.308380390405,1116.0812058528445,1176.737326393507,0.0,0.0
2011-06-04,0.524738,0.0,0.0,879.9176482058472,212.72101178314787,0.0,0.0,0.0,578.4747524405062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1307.639607302741,785.1031856205078,931.6004339266036,0.0,0.0
2011-06-11,0.523722,214.67449393162465,214.67449393162465,491.70896518102205,0.0,440.2518810248595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1244.723995519971,940.7392009618331,1001.014602278975,0.0,0.0
2011-06-18,0.436554,0.0,0.0,600.374761561351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,959.711082190457,965.9359817110776,598.460990562401,0.0,0.0
2011-06-25,0.811416,0.0,0.0,462.53962169975216,0.0,0.0,0.0,0.0,293.7477511312337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1093.154529525305,859.3985247966276,724.5595768605059,0.0,0.0
