date,Michigan,flu symptoms,the flu,symptoms of flu,the flu symptoms,flu how long,flu cold,rsv,stomach flu,how long flu,influenza a,a influenza,contagious flu,influenza symptoms,flu fever,fever flu,flu contagious,flu a,is flu contagious,bronchitis,strep
2010-10-09,0.671831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.9361794255336,0.0,493.1906714617441,872.6488725176497
2010-10-16,0.585011,0.0,403.77813884665767,0.0,483.2763466915976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.3387514487836,0.0,564.4897289056316,977.0085438576648
2010-10-23,0.524238,0.0,567.9901012539736,472.90715482390914,0.0,349.82678590569685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.3936014313175,0.0,0.0,877.8657231172712
2010-10-30,0.921435,0.0,514.3679149147043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.9801372536088,650.6302427107212
2010-11-06,0.863417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.1584239499523,0.0,346.4240787291329,1079.1384376592127
2010-11-13,0.806639,0.0,435.3053554449595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0756553180174,908.3907130147426
2010-11-20,0.655481,0.0,374.2090035252645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.275853603562,569.867248157921
2010-11-27,0.855178,0.0,428.25717449081657,0.0,0.0,0.0,0.0,0.0,400.97529743852857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904.1519927535828,1122.7239991643148
2010-12-04,0.564609,527.9955501196017,0.0,0.0,0.0,0.0,0.0,0.0,342.5567113840325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,844.0515881548073,1036.146856343409
2010-12-11,0.563399,395.4683840070674,582.1419950734708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445.9306580858328,0.0,680.4508277666429,875.498429502801
2010-12-18,0.755685,410.9913420686527,336.57165003374945,0.0,0.0,0.0,0.0,0.0,394.2226273464189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1127.6604948711356
2010-12-25,0.683919,0.0,637.0906395905913,0.0,0.0,0.0,0.0,0.0,699.1381259518648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.6982143732045,452.6507568946879
2011-01-01,0.899631,0.0,648.801649050371,0.0,0.0,0.0,0.0,0.0,537.0761488628209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.9225540608271,1270.187970422971
2011-01-08,0.687039,412.35667586375024,541.2795097005496,265.0611678998138,0.0,0.0,162.83851560340415,0.0,644.8591943301028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0527090171369,0.0,583.5040333820823,1033.349477406802
2011-01-15,0.833662,277.1422656183078,315.76921645031314,0.0,0.0,0.0,0.0,215.32032169411184,559.1886309361261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.5057618815388,1022.231335003004
2011-01-22,1.0462,503.993146653718,593.6163108012936,221.2894448939782,0.0,0.0,0.0,273.3616106470521,395.1855737103122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.20242876241474,0.0,573.3148814381206,944.2669448811192
2011-01-29,1.59031,580.187080317146,593.8058305049001,172.3793703317891,372.5012562161693,0.0,0.0,409.347090626921,608.4279904541,0.0,0.0,0.0,0.0,0.0,255.890328571215,255.89032857121492,0.0,177.5728209569867,0.0,739.2579588835678,1413.7231276404689
2011-02-05,1.73742,780.580244516221,661.0221707605145,226.12316435736463,233.06899476341616,154.3242195203926,154.73571948245976,283.1704510731999,365.9160540856038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656.0388580183944,1073.3210473900654
2011-02-12,2.27731,678.3303081189487,307.4161079462035,0.0,0.0,231.25985825548804,190.78497073935017,508.19301660670527,372.3710692630869,0.0,210.8086575682537,226.73755229072995,0.0,0.0,184.34013258037825,184.34013258037825,0.0,197.63171745343465,0.0,755.5380009663803,1216.406457658201
2011-02-19,2.29611,667.9113811200257,589.8905938303017,210.22663279949495,0.0,176.8202082809586,0.0,567.2534105216929,287.22284592568224,381.7622620190288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,831.9977314736731,1465.228716858025
2011-02-26,2.71023,341.93537248516543,612.9510441283384,0.0,0.0,0.0,0.0,367.85477929446,391.0335547946969,167.6529278050905,156.6641122962657,167.9532202643511,0.0,0.0,0.0,0.0,0.0,320.07441480594275,192.1975300582361,674.4795795505287,1295.397325447286
2011-03-05,2.1339,463.7921577692128,528.0849937835711,0.0,0.0,0.0,319.32677034725054,624.4035751287934,360.3455979196052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.23574239259835,0.0,675.6027433701889,1464.9496265651933
