date,Indiana,stomach flu,rsv,the flu,flu symptoms,influenza a,flu how long,how long flu,symptoms of flu,pneumonia,a influenza,strep,sinus,flu a,influenza symptoms,flu type,contagious flu,flu fever,fever flu,flu cold,the flu symptoms
2010-10-09,0.518962,0.0,0.0,788.3029861158863,0.0,0.0,0.0,0.0,0.0,1528.491115498483,0.0,1325.511427511916,1468.84820786694,665.7367828834393,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-16,0.653137,0.0,0.0,740.2212209314106,980.156759984743,0.0,0.0,0.0,0.0,937.6888641075216,0.0,0.0,1552.0259055013912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-23,0.584346,0.0,1342.2482332836985,697.2213171817801,0.0,0.0,0.0,0.0,0.0,1238.8683245841005,0.0,0.0,2044.0192573236145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-30,0.581084,779.994946867295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1066.174431831291,0.0,1297.441871882566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-06,0.842254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.4472433539498,0.0,1150.287349054569,917.329232575814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-13,0.752055,0.0,0.0,0.0,0.0,638.2133641591698,0.0,0.0,0.0,1300.5875040308524,0.0,1068.073089738424,1236.1484643194617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-20,0.820837,0.0,0.0,0.0,681.2125034317913,0.0,0.0,0.0,0.0,1696.6216398762392,0.0,1040.8449707787938,811.7691802721047,655.0273905668028,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-27,0.795053,0.0,0.0,0.0,0.0,1121.6719750929046,0.0,0.0,0.0,808.5617232976531,0.0,765.6060511741983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-04,0.887189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1321.6691793591192,0.0,1137.900030006528,1039.792214004071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-11,0.949958,792.6705456869247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1291.509414186023,0.0,599.5319777733778,967.9669629609602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-18,0.964187,733.3307139510401,0.0,0.0,784.2487415742703,0.0,0.0,0.0,0.0,824.1605933826775,0.0,787.0749069817729,1071.9399627842888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-25,1.36295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1492.328802924237,0.0,1078.595339353963,1579.6184272684488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-01,1.7327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1518.893570368076,0.0,0.0,2098.9669241568567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-08,1.75182,536.255037635625,0.0,0.0,506.65491362078825,0.0,0.0,0.0,0.0,1021.6762751114626,360.9999064730332,1238.5095517792895,1896.37480290582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-15,2.40376,381.10788061765794,0.0,620.900361271019,490.6750009629962,346.0282562261028,0.0,0.0,0.0,764.2549103589174,0.0,1060.0991424309034,1368.9927171124748,0.0,0.0,0.0,0.0,385.59705060995225,385.59705060995225,0.0,0.0
2011-01-22,4.38823,375.4224777419397,325.9029367652981,793.4976250891514,723.3896780636129,310.45968597126046,0.0,0.0,299.15362117390833,1127.1092053964755,0.0,956.7449785059129,1333.2948824170803,0.0,0.0,0.0,282.7779871496017,0.0,0.0,0.0,313.850923149548
2011-01-29,6.90447,352.5267410942791,393.99623138652896,818.858713584577,776.0363808722884,386.0779717641792,0.0,0.0,0.0,1195.5092091268154,0.0,1618.6317707091528,1541.218300964049,284.48755446184776,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-05,6.7716,0.0,497.55774186861055,688.7883856627457,1086.073588087239,0.0,0.0,0.0,0.0,861.3172826705415,0.0,841.7975636287902,1369.9466287870678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-12,6.07211,336.4188523646605,484.43880411965625,692.2601483386144,793.7829303359381,468.3685272839852,441.74005439325066,441.74005439325066,0.0,1206.4874435993695,0.0,1143.1111604584885,1689.959662368115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-19,5.97522,485.57168511706345,723.926484879029,473.9739590127575,562.4911671960685,0.0,0.0,0.0,0.0,1256.19834934222,0.0,1598.496785371262,1791.5956168990388,427.2012808242146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-26,5.02345,409.4098235042029,1073.5729352782678,654.1465010318869,880.9856284365592,0.0,543.7510340799245,543.7510340799242,0.0,942.2987347395798,0.0,1500.3306893459262,1454.4450064362331,0.0,0.0,0.0,0.0,0.0,0.0,433.3090417334597,0.0
2011-03-05,3.80817,328.0209288453751,799.7185207929948,505.55223859235286,394.3661529493703,0.0,0.0,0.0,0.0,1159.146317378842,0.0,1557.1324373938803,1933.5520093820808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
