date,Rhode Island,the flu,flu symptoms,how long flu,flu how long,symptoms of flu,influenza a,bronchitis,the flu symptoms,contagious flu,a influenza,rsv,flu cold,flu contagious,stomach flu,flu a,pneumonia,flu fever,fever flu,how long does flu last,sinus
2011-05-14,0.0499002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1146.61350748748
2011-05-21,0.019992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1221.6330167131166,1221.6330167131164,0.0,2137.7501527272334
2011-05-28,0.0237699,0.0,0.0,0.0,0.0,2382.246409394524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1559.152504826197,0.0,0.0,0.0,0.0
2011-06-04,0.030012,0.0,0.0,0.0,2049.307952757072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1457.0184501953038,0.0,0.0,0.0,0.0
2011-06-11,0.0243368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1308.5207103441685,0.0,0.0,0.0,0.0
2011-06-18,0.0242483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-25,0.0243132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2224.6382384378694
2011-07-02,0.0288517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-09,0.0639182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1313.4617905230257
2011-07-23,0.0530504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-06,0.0262261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1642.11628919201,0.0,0.0,0.0,0.0
2011-09-03,0.101112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-10,0.0875465,0.0,0.0,0.0,1243.2909417855535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-17,0.0691324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1521.3909719351548
2011-09-24,0.10915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1537.5748474856362
2011-10-01,0.199601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1698.8901447732496,0.0,0.0,0.0,1111.796246276056
2011-10-08,0.169309,1169.4893157059344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1845.6503938861424
2011-10-15,0.10597,0.0,0.0,0.0,0.0,1166.6008483642977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1535.2004912138264,0.0,0.0,0.0,1148.3672186049964
2011-10-22,0.241619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172.908063221043,0.0,0.0,0.0,1537.5015272109297
2011-10-29,0.25887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1227.7415999316215,0.0,0.0,0.0,1201.7837689648832
2011-11-05,0.384672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1611.7833839401994
2011-11-12,0.606157,0.0,0.0,0.0,0.0,0.0,0.0,1348.5616897900452,0.0,0.0,1247.331363192618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-19,0.258324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.302650845785,1159.87390896406,0.0,0.0,0.0,1710.3629262911656
2011-11-26,0.132743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1305.6548177257891,0.0,0.0,0.0,0.0
2011-12-03,0.469217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1221.6106472003771,0.0,0.0,0.0,1221.6106472003771,0.0,0.0,2725.248341817829,0.0,0.0,0.0,1510.724492416038
2011-12-10,0.223914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-17,0.345397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-24,0.34214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2334.2481862880345,0.0,0.0,0.0,1382.089005492256
2011-12-31,0.224575,1894.883689558076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1324.0811233120526,0.0,0.0,0.0,1929.818667668425
2012-01-07,0.157127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3046.307939642562,0.0,0.0,0.0,2108.6257648914216
2012-01-14,0.0913075,0.0,1088.8391828991453,0.0,0.0,0.0,0.0,1793.1190138084369,0.0,0.0,0.0,0.0,1398.6775329072746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1039.0535554730166
2012-01-21,0.182002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1034.5734580184758,0.0,0.0,0.0,1205.1824533428864
2012-01-28,0.275482,1194.9477478730007,1123.282524536202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1326.2673984455598,0.0,0.0,0.0,1232.666076093015
2012-02-04,0.295421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1003.2243294195472,0.0,0.0,0.0,0.0,1136.0113085573812,1526.6279957247637
2012-02-11,0.34155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1267.044879546318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1587.2880149704067,0.0,0.0,0.0,0.0
2012-02-18,0.183542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1487.729061678567,0.0,0.0,0.0,1172.728558779141
2012-02-25,0.250761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1387.222169969064,0.0,0.0,0.0,1891.0014821031275
2012-03-03,0.275356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1116.3620757441695,0.0,0.0,0.0,1607.6207304505012
2012-03-10,0.164123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1322.4558349594213,0.0,0.0,0.0,0.0,0.0,1440.2505676002916
2012-03-17,0.140393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1141.1653320193984,0.0,0.0,0.0,1883.216318337728
2012-03-24,0.245018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1236.7315948063656,0.0,0.0,0.0,0.0
2012-03-31,0.428816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1166.5158814852905,0.0,0.0,0.0,0.0
2012-04-07,0.466356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1037.462044884337,0.0,0.0,0.0,0.0
2012-04-14,0.654889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1398.03538394778
2012-04-21,0.379816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1189.1397527485003,0.0,0.0,0.0,0.0
2012-04-28,0.156764,0.0,0.0,0.0,0.0,0.0,1221.5435528938233,1101.2803156026384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1713.975191417043
2012-05-05,0.247219,1139.1692122622371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1976.262408557634
