date,California,pneumonia,rsv,bronchitis,flu contagious,contagious flu,sinus,stomach flu,cold symptoms,how long flu,flu how long,fever flu,flu fever,stomach flu symptoms,walking pneumonia,robitussin,symptoms of pneumonia,how long does the flu last,how long contagious,flu symptoms,flu cold
2010-10-09,1.95412,463.0756756204632,40.74436255755231,228.23840058077013,37.72160228462468,37.72160228462468,540.662975337685,106.97976797300026,68.05200921567797,0.0,0.0,33.8535199603754,33.853519960375394,37.51251774381483,0.0,54.29155943870757,35.99577002875476,0.0,0.0,181.9714536886616,85.2075989282333
2010-10-16,2.15266,411.0972775174615,55.039460120707474,172.65696679556254,0.0,0.0,518.6680561742673,72.56198027827507,57.308028604789975,0.0,35.27786276799631,0.0,0.0,0.0,0.0,49.06811002880989,0.0,0.0,36.54757315250711,130.8830524636161,53.49400272122347
2010-10-23,2.24173,502.7764036695984,65.48886469878201,294.70949805226905,0.0,0.0,545.4029565454363,139.78804938973855,95.44979966036168,0.0,0.0,0.0,0.0,29.92411116241733,41.41246175964688,66.18060391341473,0.0,0.0,0.0,208.0462724739947,75.29146855802081
2010-10-30,1.91748,425.9332425276229,36.697093478832734,245.40306063318292,0.0,0.0,580.2163958228962,130.21949335457978,102.97542810765208,0.0,48.83114545339852,0.0,0.0,49.38642913841693,35.2088211748266,79.97888759852539,0.0,0.0,0.0,131.8276160671795,83.0422757402166
2010-11-06,2.52326,461.4935255674137,44.31468086918952,263.94892927016656,0.0,0.0,590.82084751853,74.05875991283138,65.04242072031431,0.0,0.0,0.0,0.0,29.555582249653185,60.9655598550456,53.51794294408769,0.0,0.0,0.0,146.5544971899609,107.5772500559308
2010-11-13,2.74562,532.8928964237266,50.70819786846023,257.0594849451311,0.0,0.0,615.7641118304833,139.63299910605008,109.45647551763696,0.0,0.0,0.0,0.0,33.359373554545535,87.18204176859058,73.94913401571526,38.72438592198628,0.0,33.23118514160215,148.42408618829182,39.23147035016669
2010-11-20,2.81963,551.4300370804829,75.59359174527681,258.72180515076093,0.0,0.0,605.2309241297326,126.6248013841956,127.8201318610671,38.524633475439785,53.13731443277146,0.0,0.0,0.0,42.52651421119303,75.57814300942633,40.61263636993581,0.0,38.89378287436988,171.90186252238905,114.83363744375244
2010-11-27,3.16132,436.9277990388643,55.439557182911926,259.25593333470204,0.0,0.0,522.7012968900284,58.23098487136412,53.769454907440114,56.26923828208443,0.0,0.0,0.0,36.55158333722057,40.79000859320893,127.8026814896362,39.99829526859722,0.0,48.42815692161911,149.84832121235505,30.704781152397224
2010-12-04,2.60631,563.6846556886094,62.8387171094484,241.9139623564108,32.88658866331741,32.88658866331741,650.8442016953262,189.67915502328287,154.09803040659008,51.143636957223045,52.94447208648712,58.55730128185959,58.55730128185959,34.30737990647251,42.3992932407315,65.59176459880156,0.0,0.0,46.93494837051127,194.77815391104295,106.8777835733896
2010-12-11,3.05613,505.926473353107,69.5589794480362,231.53281453172852,0.0,0.0,663.9329398310765,184.5959795285873,71.70135580962221,42.10885486595332,60.81721782606851,48.108847616622434,48.108847616622434,0.0,38.09992591196814,81.6075270496204,0.0,0.0,29.32001551695979,160.34209528011525,98.88860908934774
2010-12-18,3.6598,489.1376383742325,115.60657546903548,274.6816644672201,0.0,0.0,598.4901638625714,219.64737582184688,89.77233824615,47.06236339569285,31.293187689687635,0.0,0.0,0.0,60.92603720324007,76.80165534612561,0.0,0.0,0.0,140.63392831764725,40.918308443585424
2010-12-25,4.62077,487.6659881883711,128.37091168250365,273.9174450049321,0.0,0.0,638.8236683572401,126.87067512694104,103.1421120537314,0.0,33.87156292093091,0.0,0.0,0.0,41.5517256472993,76.86728522890348,0.0,0.0,53.61046226807918,213.74634965762263,45.80974418097582
2011-01-01,4.6895,643.0578132310202,131.95222805048635,316.58281395425007,75.56325834327528,75.56325834327528,639.1675510063548,200.91402931862584,153.1910871458413,0.0,43.41960597168397,39.34460087510632,39.34460087510632,0.0,83.4547235159143,100.00651424315808,45.948717648502864,0.0,76.53403563941514,194.5445747382028,105.47509433839816
2011-01-08,3.56213,1019.4398618168476,277.63467704614493,630.1618644872518,50.664201101677584,50.664201101677584,1105.1862920037524,309.8283418283272,200.47464761059763,60.327034074312586,56.53139729783955,69.15637129767117,69.15637129767117,51.22504871096886,160.0549833499178,241.3197287801544,72.2068266189639,0.0,74.66460559538555,318.3284350469168,184.08910926015955
2011-01-15,3.79325,1102.5468080364578,252.41830031528733,678.6429039278802,40.46508236857039,40.46508236857039,1245.3869557010937,223.15946370482263,227.1456134998281,62.56767433323656,64.71301221357925,53.61317139754524,53.61317139754523,61.345538131597245,125.94306418913663,185.3444459884158,108.34908388965306,0.0,45.461638872056994,350.3566405895766,207.06582525770708
2011-01-22,4.02689,1041.9399534530562,366.2204246521536,630.1922950765502,0.0,0.0,1188.226802658734,261.4418384230804,227.169000356234,88.54579583974918,87.16408774996236,60.88325083398226,60.88325083398225,91.69241986207032,157.66255144973258,172.6623112627746,62.86353098142111,0.0,104.34183378301948,396.1245880021167,148.3876484397542
2011-01-29,4.60501,1046.4962058575595,424.1511681773264,660.7704571367443,0.0,0.0,1139.2102077004706,330.77836389640595,184.80997644894063,114.98521361388292,90.5515010279404,68.59610136521573,68.59610136521573,51.68244336364264,140.95938514313852,254.9428699148535,85.74045837412501,0.0,106.87867609412665,483.1157921090304,174.20933251683678
