date,Virginia,flu how long,how long flu,flu symptoms,the flu,bronchitis,contagious flu,flu contagious,flu cold,flu a,symptoms of the flu,rsv,symptoms of flu,the flu symptoms,pneumonia,sinus,stomach flu,how long does flu last,is flu contagious,flu incubation,fever flu
2016-07-16,0.976184,0.0,0.0,121.3882187930752,174.59665281787727,368.301886396095,119.09764839214218,119.09764839214218,0.0,0.0,0.0,0.0,0.0,0.0,593.4314860875978,1073.1311110852912,117.65876164245884,0.0,0.0,0.0,0.0
2016-07-23,0.944046,0.0,0.0,131.30909770458894,182.69392255229823,414.1263108222255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561.3479287176759,983.4955656207336,134.88303055325744,0.0,0.0,0.0,0.0
2016-07-30,1.01157,0.0,0.0,120.36437834109658,132.82235489162088,280.9962814825212,0.0,0.0,124.19785421912746,120.34360866571642,0.0,95.90684644921726,0.0,0.0,489.45335714590857,1024.5238585457355,116.47838981794696,0.0,0.0,0.0,0.0
2016-08-06,0.868836,0.0,0.0,0.0,149.1279196425712,301.6376707293029,0.0,0.0,90.04403089657019,83.03916151990266,0.0,0.0,0.0,0.0,550.7717525133778,872.9243802431214,0.0,0.0,0.0,0.0,0.0
2016-08-13,1.03551,0.0,0.0,0.0,176.22451485656134,261.4849508555177,0.0,0.0,91.11142375290368,0.0,0.0,86.96015566468161,0.0,0.0,636.3509233085617,1038.1831009292457,0.0,0.0,0.0,0.0,0.0
2016-08-20,0.952447,0.0,0.0,143.6523676374523,0.0,291.0316854778562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652.377457296188,1142.2970783699227,0.0,0.0,0.0,0.0,0.0
2016-08-27,1.01161,0.0,0.0,101.56943554316732,0.0,361.3043126660114,111.01740335664564,111.01740335664564,0.0,0.0,0.0,0.0,0.0,0.0,670.2840526021763,1061.420829615452,90.75169736480105,0.0,0.0,0.0,0.0
2016-09-03,1.02227,0.0,0.0,168.4761948543678,176.38127262347132,367.0734498614317,0.0,0.0,0.0,113.92833676588305,0.0,0.0,0.0,0.0,796.6536347700915,1073.7815918135975,0.0,0.0,0.0,0.0,105.8485589360818
2016-09-10,1.13904,0.0,0.0,173.38020961823483,215.33889047624612,492.8216517960351,0.0,0.0,0.0,137.39290955709723,0.0,136.27106287079675,0.0,0.0,695.2530431540315,1272.716149074005,92.60509879528796,0.0,0.0,0.0,77.41787116238193
2016-09-17,1.19647,0.0,0.0,244.24801235057345,316.6477846663216,559.5630392369081,0.0,0.0,155.94222052643696,147.47452149400536,0.0,84.09311804473698,0.0,0.0,3498.672999168178,1282.0561517765284,98.9607445657528,0.0,0.0,0.0,0.0
2016-09-24,1.41489,91.38169083470036,91.3816908347004,249.31084434641252,426.7002178903453,631.2273261834281,0.0,0.0,118.32603425833652,209.054430229964,0.0,109.4874906243702,0.0,0.0,1307.9972901970516,1385.8139474210398,144.87466531333106,0.0,0.0,0.0,0.0
2016-10-01,1.54346,220.1806613180498,220.1806613180498,235.45549777225224,380.4250452053565,569.5325404563504,0.0,0.0,126.54856053451924,231.64099909044333,0.0,84.06472413146943,0.0,0.0,1079.752162469063,1448.636538979957,137.86640989007356,0.0,0.0,0.0,0.0
2016-10-08,1.5353,79.45021815879343,79.45021815879343,274.3549743042404,582.84762123236,594.9020421514415,0.0,0.0,165.19653262524668,498.0872611062007,0.0,0.0,0.0,0.0,1100.281550111335,1391.8222201186472,183.1663123761497,0.0,0.0,0.0,95.72261727192576
2016-10-15,1.64101,95.90158428308978,95.90158428308976,340.3248956506744,521.6072535272441,703.0759646405752,0.0,0.0,210.0270614387386,380.6109138360793,141.16511295372334,201.30206470514352,0.0,0.0,1277.3679312427494,1304.7764748846637,173.31012216124373,0.0,0.0,0.0,0.0
2016-10-22,1.62658,102.80209960399068,102.80209960399064,409.00751141199527,380.7558430964557,663.7466505647571,0.0,0.0,132.5915732016075,346.32550956958727,0.0,0.0,0.0,0.0,1217.079856585215,1516.4921993867165,123.91459158210988,0.0,0.0,0.0,87.96438870220433
2016-10-29,1.85403,100.69122613699211,100.69122613699211,261.3851387664251,407.5983576916804,674.7280212678651,0.0,0.0,266.78976672318737,336.5311881822691,0.0,156.20877595642366,0.0,99.55130985899716,1075.900697772414,1255.4242500089488,148.22240536906895,0.0,0.0,0.0,0.0
2016-11-05,2.00273,168.93662643763642,168.93662643763642,253.0873000711028,521.0241091587293,623.3038214824797,0.0,0.0,207.91473088695557,264.8209911541712,0.0,0.0,73.19676277262319,0.0,1113.659499202366,1649.7143903233791,252.9855946718014,0.0,0.0,0.0,0.0
2016-11-12,1.96096,0.0,0.0,243.78435022555217,427.5049524356402,671.1444727867869,0.0,0.0,168.32522889943863,198.8009645630442,0.0,207.8060092420761,131.55985596830575,0.0,1235.5033541000448,1303.776347604954,123.10459740180488,0.0,0.0,0.0,78.40190440049135
