date,Missouri,rsv,cold,the flu,flu cold,stomach flu,pneumonia,a influenza,influenza a,flu symptoms,sinus,how long flu,flu how long,flu a,bronchitis,influenza symptoms,symptoms of flu,influenza a symptoms,the flu symptoms,how long does flu last,contagious flu
2017-02-11,6.74594,1113.0124727803543,9743.032509339262,2149.529827641617,383.1063945398072,767.8738737128698,1717.9378958423122,1145.298452177067,1145.2984521770668,1684.0086658590042,2095.631040722514,580.6876572366747,581.9846829966909,903.9530189601372,936.1728373762444,331.22789147776143,489.1526112393861,246.9939085753563,425.2936153551578,134.11255058602325,199.3304499571512
2017-02-18,5.01464,894.2893257688568,8826.715515134085,2041.1575335435268,187.23862365062504,698.9861940514103,1739.8221184510924,1001.6698361545892,1001.669836154589,1457.140289498819,2056.329400205581,525.5204456168445,435.0847106191151,836.861438740436,985.0539378675126,294.6840757119874,465.1735096046742,133.94391390879386,500.2982434081589,194.07298951098755,226.3734333221049
2017-02-25,4.40847,855.8891863879326,7706.891552464589,1558.010451044291,281.6352591245185,656.5846188826772,1500.0145551334024,596.9680670194434,596.9680670194435,872.882501647502,2263.6158584069794,480.1797915743639,445.4770846152532,711.7905861102549,747.1696324419809,307.94595956744206,279.91598539745854,0.0,150.91454511503525,177.29986404058928,182.57459284416504
2017-03-04,3.08846,590.8299979615238,7841.430014776231,1117.5658665728076,200.32829460556732,458.895337710815,1120.2727679967188,485.2657454590425,485.2657454590425,862.3756580945263,1836.1333999287085,190.7750266657717,271.07307929856745,447.6002841479296,761.4685633369537,191.8272759772178,123.91731037930305,109.0202410430821,105.29217376350672,0.0,0.0
2017-03-11,3.1356,394.2922147404877,7661.341509367322,910.2305088947948,211.30314490391487,489.6370539408985,1218.008193124755,342.8894532733376,342.88945327333755,595.9570208280289,1795.9779429109935,168.89320858191007,121.70821303134372,298.02040569416107,783.4204912599314,227.08337972282663,118.75091628350636,0.0,157.442417081464,0.0,0.0
2017-03-18,2.52691,351.2338542701831,8881.507067000679,813.1684781502655,185.573859270816,431.13298888161023,1239.7355958640476,132.45264977296915,132.45264977296915,604.321391519959,1655.2607529477968,279.9289991945323,322.56434919260744,212.55268174233495,701.2472666232835,0.0,142.39349658400891,0.0,0.0,141.22449056638493,0.0
2017-03-25,2.01827,362.6111807710515,8248.939601268094,869.0982803920547,172.15495389393388,369.8893720083318,1127.3436102837743,317.4801605898824,317.4801605898824,576.8060706628995,1692.8535079831238,242.54357594545883,223.36043140330244,294.9886757986348,676.5580366150306,143.88462608476496,0.0,0.0,0.0,144.7454114293587,0.0
2017-04-01,1.75439,293.42984686154057,7767.553182674074,474.0096256359275,172.9413488608962,418.7425792071944,1424.6365072567376,186.3192243281412,186.31922432814125,412.5802804447503,1487.501951398999,0.0,155.69023353925445,285.093973029773,510.3282246451257,187.67270124728603,0.0,0.0,0.0,0.0,0.0
2017-04-08,1.60621,192.9729780448913,7782.186587502548,664.476592627057,0.0,190.44348482107196,1346.3991214195505,0.0,0.0,341.4138999248024,1686.789492176135,132.40125844356655,0.0,170.19051954273584,553.3709083710928,0.0,111.29897620560448,121.25487576838457,139.60862976744917,0.0,0.0
2017-04-15,1.28613,437.49679798752175,7802.661317854257,366.9410543116329,0.0,228.62201635310151,1046.3251553580253,0.0,0.0,165.19755209917116,1373.2457965823874,162.76052976007253,168.113354336705,218.76874067583373,478.1900452980012,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-22,1.15415,0.0,7835.660167530892,396.21431552637495,0.0,284.1334534370497,1073.0569632231532,0.0,0.0,210.25699049802628,1783.9804430010577,0.0,0.0,115.42822688607605,666.8121987271842,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-29,1.03435,154.67512531134213,7538.534455588565,348.24287556145106,114.6396484949111,267.54237191845635,920.5075727601612,0.0,0.0,265.0796805482192,1077.2683365150342,0.0,0.0,164.23339900381208,663.8377837423672,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-06,1.07771,178.0314124881773,7257.881097911232,254.16541071302888,0.0,190.56297379464303,958.8800823317982,0.0,0.0,0.0,1393.354678355155,135.43916750162498,0.0,0.0,513.2141719092676,0.0,0.0,113.95837680564448,0.0,0.0,0.0
2017-05-13,0.407643,0.0,7530.073578990501,0.0,0.0,126.809569342356,950.3269657770531,0.0,0.0,267.3889819661,1245.0115184564534,0.0,0.0,0.0,752.922433714606,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-20,0.345261,0.0,7681.924891802952,0.0,0.0,309.7388514647654,1088.3484475238188,0.0,0.0,182.96601936746652,1450.3758103185462,0.0,0.0,0.0,431.9679328733027,0.0,0.0,0.0,151.3684012591178,0.0,0.0
