date,New Jersey,flu how long,how long flu,how long does flu last,the flu symptoms,stomach flu,the flu,flu symptoms,bronchitis,cold,flu cold,pneumonia,rsv,sinus,symptoms of flu,flu contagious,contagious flu,flu fever,flu a,strep,fever flu
2010-10-09,2.31534,0.0,0.0,0.0,0.0,0.0,501.1025653080614,256.3866943775838,247.0297144958109,5847.625892886776,0.0,622.5799130620711,0.0,882.1919795330826,0.0,0.0,0.0,0.0,0.0,481.20272272115926,0.0
2010-10-16,2.47836,0.0,0.0,0.0,0.0,0.0,206.52098391852687,240.70219757594376,484.055478333421,6026.912888056072,0.0,629.6489007130288,0.0,1105.3082115228317,0.0,0.0,0.0,0.0,0.0,969.1231920366104,0.0
2010-10-23,2.24812,193.2666670043192,0.0,0.0,0.0,0.0,479.20793707933694,208.11142046387167,577.4545595726306,6937.244461346125,0.0,926.1724952334372,213.5155700191519,1004.613579927788,0.0,0.0,0.0,0.0,326.92099123397634,742.841213964003,0.0
2010-10-30,2.79286,0.0,0.0,0.0,0.0,0.0,242.08344701768823,259.0920679665813,483.519571411245,6513.40052847042,0.0,906.8356708781246,0.0,1375.4388939636058,290.85360183017656,0.0,0.0,0.0,0.0,629.448747406749,0.0
2010-11-06,1.82877,0.0,0.0,0.0,0.0,0.0,366.4028747132733,279.9121869941069,301.61311561811624,7208.539589815125,0.0,954.3932013426804,0.0,997.8755229462056,0.0,0.0,0.0,0.0,325.6671135611071,515.8437475173424,0.0
2010-11-13,2.2031,0.0,0.0,0.0,0.0,253.08006439375325,281.3947576118743,0.0,336.9071521245258,6569.937444385877,0.0,720.0258269748188,204.73121451688988,1077.9779111328091,0.0,0.0,0.0,0.0,0.0,597.1938611111401,0.0
2010-11-20,2.13716,0.0,0.0,0.0,0.0,210.09574163169944,287.97422296165286,273.41114542665906,542.5520416366479,6655.370815279527,0.0,847.9590499895788,0.0,1163.751486485877,0.0,244.0340884575724,244.0340884575724,0.0,0.0,624.2580769372062,0.0
2010-11-27,2.41758,0.0,0.0,0.0,0.0,290.8192576551008,253.69456414881876,255.7844310212672,428.6583480056954,6130.59114741681,0.0,630.6666488670675,0.0,1159.5976308699558,0.0,0.0,0.0,0.0,0.0,633.9910586274889,0.0
2010-12-04,2.60116,0.0,0.0,0.0,0.0,0.0,350.89220392651646,338.3139923156476,296.37384136750205,7409.454494583499,0.0,923.7884808071532,356.3962455736301,1127.0162679857788,0.0,0.0,0.0,0.0,0.0,853.6970255893385,0.0
2010-12-11,2.65371,0.0,186.09068960762409,0.0,0.0,307.4874813941499,285.3355907035786,253.42262324012276,516.3948486077471,8980.129002196103,0.0,970.6821130790928,230.1460251841804,1172.5900601651797,0.0,0.0,0.0,0.0,0.0,668.0058499324433,0.0
2010-12-18,3.20073,0.0,0.0,0.0,0.0,195.7921620661155,365.9315443916085,0.0,566.3075858668835,8618.007162399395,0.0,512.5629644701168,0.0,1086.9902753396923,0.0,0.0,0.0,0.0,197.0874091680282,850.6895489286422,0.0
2010-12-25,4.6438,0.0,0.0,0.0,0.0,0.0,0.0,434.9412782696653,591.3665901057005,7623.210133796804,217.82421379766296,1014.0177290624426,0.0,1312.7475102907422,0.0,0.0,0.0,0.0,229.7392627561993,910.2936625548352,0.0
2011-01-01,4.91358,0.0,0.0,0.0,0.0,439.1398363291868,401.8591539156996,676.758983360039,733.7331313379003,7944.457445838623,0.0,885.824771445635,210.1258551842673,1621.8852026973352,241.93756275894137,0.0,0.0,0.0,0.0,845.2878487977126,0.0
2011-01-08,3.95271,0.0,0.0,0.0,0.0,296.57481008090315,494.020031369172,628.8921705360018,691.2695613300115,7355.050930144098,206.15419406268887,1208.9636680857104,175.0501915510273,1513.1202453791414,0.0,0.0,0.0,160.39166759494577,254.91953352120507,1074.6865199844435,0.0
2011-01-15,4.97268,0.0,173.73472467190203,0.0,0.0,323.3507281206034,649.1321298480923,555.7413365794226,568.208254383534,7397.303676720887,176.41014893628972,748.4099479375,0.0,1063.510852151328,0.0,0.0,0.0,0.0,348.5585237622825,763.7095191937187,0.0
2011-01-22,5.12435,0.0,162.65364041638006,0.0,0.0,205.83378422199144,592.9386145822501,478.21610297988354,570.5810564411429,7310.989705501289,244.71946821255767,930.387151337752,360.1695911752185,1441.4919163052766,0.0,0.0,0.0,0.0,356.7513749631191,767.3970111179646,0.0
2011-01-29,5.90291,0.0,0.0,0.0,0.0,224.56154615154145,555.9274010268655,512.8027418753868,641.6952972943152,7935.468691567423,0.0,1135.2024240386093,288.7278675681835,1453.555075338839,217.63651851903708,0.0,0.0,0.0,310.76142498896587,846.5678650879302,149.01493204973326
2011-02-05,5.5993,134.6164615680478,142.8013487716567,0.0,0.0,248.76952697408785,344.91251484288654,514.6354706039461,724.0558023015917,7188.950059495425,144.1496414446649,822.5776566111032,347.33000876175424,1411.2255431877204,0.0,0.0,0.0,0.0,238.57368604730135,707.0007903685687,0.0
2011-02-12,5.86393,0.0,0.0,0.0,0.0,158.20209505260925,498.5514720074898,820.0924725413643,515.2764820034159,7093.924999131001,288.6977539869543,1081.2657607051651,397.2665356535175,1300.356732096342,0.0,0.0,0.0,0.0,184.8876789361674,878.896343271238,183.3961468140924
2011-02-19,6.11392,189.3066319607807,0.0,0.0,0.0,227.73622940748396,548.469877853364,564.8482966066551,618.2366641292557,6950.201169468862,0.0,1174.7544762510836,267.6037869297552,1431.7635409873435,0.0,0.0,0.0,164.34028096754088,257.0245997569623,1249.1791816065909,0.0
