date,Utah,cold,rsv,flu symptoms,the flu,pneumonia,a influenza,influenza a,how long flu,flu how long,symptoms of flu,bronchitis,the flu symptoms,contagious flu,flu cold,flu contagious,stomach flu,flu a,flu fever,fever flu,how long does flu last
2010-10-09,0.747696,7052.49646168144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-16,0.410939,6251.570412858693,0.0,0.0,1215.8911381239895,1374.576722013874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-23,0.440583,6515.274698084683,0.0,0.0,0.0,0.0,0.0,0.0,1320.0938898675406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-30,0.755957,6057.690650598454,0.0,984.7423322661318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-06,0.651859,7113.1550753474485,0.0,0.0,0.0,1071.7655844655378,0.0,0.0,0.0,0.0,0.0,1367.6095429031634,0.0,0.0,0.0,0.0,0.0,1215.6537722741534,0.0,0.0,0.0
2010-11-13,0.6639,7057.31929577467,0.0,0.0,0.0,933.5237495414092,0.0,0.0,1125.24016540208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-20,0.907845,7254.84900216647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-27,0.743569,10640.694677718871,0.0,0.0,0.0,1438.869594663449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-04,0.838308,7417.580163559824,0.0,0.0,0.0,1271.054451488449,0.0,0.0,0.0,0.0,0.0,0.0,1304.8072682741931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-11,1.16492,6444.202502522599,0.0,0.0,0.0,1306.451006246763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-18,1.1154,7063.895141200173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-25,1.10739,6357.691023819714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1249.401332736732,0.0,0.0,0.0
2011-01-01,1.09006,8266.64135977526,0.0,0.0,0.0,1428.129448435513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-08,0.519955,8579.442744469798,0.0,679.6070459155674,744.7088384337649,2117.6887579369773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-15,2.5974,9937.62914557495,0.0,0.0,514.1230961801735,1045.524260076064,541.2006726046924,541.2006726046924,689.6020146702368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.7126717211164,0.0,0.0,0.0,0.0
2011-01-22,2.13816,6089.267538045519,0.0,0.0,0.0,1141.3364497052523,0.0,0.0,0.0,0.0,0.0,1062.659830230118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,757.4003452375567
2011-01-29,0.895355,7925.531754859799,972.5574463326448,0.0,0.0,1105.4619145837082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-05,2.03178,8096.416196452159,1360.5371346713907,485.9939854070016,0.0,995.9398760924194,752.5282211630852,752.5282211630852,0.0,0.0,0.0,556.7147156060573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-12,2.90828,6511.472620639112,1266.7209663302708,685.1265781194681,0.0,1111.489371041957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-19,2.45478,5956.979362635975,1576.0576579277154,0.0,0.0,1855.3284598159785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
