date,Wisconsin,influenza symptoms,the flu,flu symptoms,a influenza,how long flu,influenza a,cold,flu a,flu cold,symptoms of flu,stomach flu,bronchitis,pneumonia,flu how long,strep throat,sinus,rsv,influenza a symptoms,how long does flu last,the flu symptoms
2018-12-08,1.47003,0.0,720.4892501203421,389.2492257856056,132.55956290282165,0.0,145.22302762598142,17785.858712881796,329.71603903256306,235.8136838401861,155.72149346353683,432.1645829436212,628.8558555393405,1175.7219499806206,121.7445390221886,789.8567111472244,1740.9084999806453,377.3443488599432,0.0,0.0,0.0
2018-12-15,1.64951,178.42826380110327,681.53232011302,499.069014893641,123.74479814976657,0.0,117.7800754778524,15421.026651210364,261.57113571751506,240.03298714547623,0.0,757.3400121859937,852.2474665431218,1332.8006518847817,127.3650668579975,877.7354652047288,1440.2231786567324,469.8240614738253,0.0,0.0,0.0
2018-12-22,1.836,0.0,1156.823116001366,625.1045434669429,185.6299669864906,267.16874931965106,0.0,12911.422476046888,462.6835194578879,265.79497421640906,0.0,1021.48346392765,584.0442169353123,1402.4035100331546,252.5550987805422,1002.5146697883326,2195.557785949052,913.6691837707856,0.0,0.0,177.20126077655738
2018-12-29,1.90082,0.0,1304.7987530835687,601.428750888199,157.0156320722511,451.9968311348248,167.0385875493321,11843.602295567933,434.7074182045794,410.4029156373786,183.08461413568403,1545.3529301696306,746.5679246933731,1384.930938583661,436.2923836720756,809.0522576770322,2058.561796380984,1096.8533542079024,0.0,266.35422868641047,0.0
2019-01-05,1.87068,0.0,1167.422245781123,872.2698598235773,0.0,220.00115028459837,172.96280377717758,11618.64956727943,410.9398727979326,197.483118532388,156.49905833108886,1127.0093674594857,814.246590415081,1781.0168048161145,240.300932512932,1019.9632300839849,2331.9119095164,1337.7405518945825,0.0,187.8985041828112,0.0
2019-01-12,1.89365,0.0,1132.793512875626,670.6829442136222,248.77085173236043,386.6385246060901,294.2286250179811,10004.268740589556,295.5163271872625,357.3965951287622,109.27643262147302,830.7473001489784,539.266945848521,1307.8860015816904,381.4780831182287,835.5186869188091,2019.19115643134,1233.3033157694736,0.0,114.398389260741,0.0
2019-01-19,1.90758,168.62604853736556,1253.2919171643052,640.7976908142897,240.34546395731297,318.02596105282544,256.4636300940753,11227.864881552468,300.8856007023014,322.44075110958414,129.99809821880473,930.0607773508024,624.1636440408145,1119.5215537080392,275.39425347414374,722.4791988292835,2181.912860067341,981.9724910713892,0.0,156.78009918516858,0.0
2019-01-26,2.02401,164.61628460541178,1093.4602282633846,529.0991183268694,240.53424679324863,245.9628997871416,258.48289072202545,21629.999283395613,321.2184850512956,450.17985287722433,170.4369822416526,784.7908143519652,862.0542101801224,1628.2442397129803,191.8661595628992,862.1665911355233,1907.2110127144435,1000.5889540718036,0.0,0.0,0.0
2019-02-02,2.06722,0.0,580.8745641375981,614.7178485432016,156.9508844936408,173.1376620908095,180.4472633407032,45403.80863633574,419.8023299760257,266.1188960585743,0.0,661.470791927932,709.0358036255603,1557.2793930453902,185.89259247408864,1107.1943770720784,1914.6677528655996,1106.7297821730929,0.0,0.0,106.90085065540332
2019-02-09,1.58015,167.062576475306,742.6980381842397,612.0996127024846,408.7156172165263,184.87737198478976,459.2281186450744,14409.11279816993,349.91781663635027,202.4771619083604,115.29798827257416,597.310401984948,518.8516925603984,1349.9758301028046,222.44254108471867,933.5588122270344,1628.2874915043135,784.0492707772638,0.0,0.0,0.0
