date,Texas,contagious flu,flu contagious,how long flu,flu how long,is flu contagious,flu type,flu cold,flu incubation,flu type a,how long contagious,how long does the flu last,the flu,bronchitis,b flu,flu symptoms,flu incubation period,how long is flu contagious,fever flu,how long does flu last,the flu symptoms
2015-05-30,2.15255,0.0,0.0,0.0,0.0,0.0,0.0,54.69578878637816,0.0,0.0,73.30222664311614,0.0,162.28087468645825,337.80412903628854,0.0,188.8041224467627,0.0,0.0,37.3579300004396,0.0,0.0
2015-06-06,2.59259,0.0,0.0,0.0,0.0,0.0,0.0,43.77334959016596,0.0,0.0,79.97135660249153,0.0,202.585269277466,457.7330128818572,0.0,184.0647636766668,0.0,0.0,0.0,0.0,0.0
2015-06-13,1.7597,0.0,0.0,0.0,0.0,0.0,0.0,71.44322320524442,0.0,0.0,60.561896746265326,0.0,143.13711180286194,365.6679440896692,38.28885703478545,169.5696115216352,0.0,0.0,0.0,0.0,64.55916097664804
2015-06-20,1.75866,0.0,0.0,0.0,36.4597173780305,0.0,0.0,44.148877701878114,0.0,56.67592726613284,101.54332919288122,0.0,73.8363737810456,341.4368202152404,0.0,124.92222779335344,0.0,0.0,0.0,0.0,0.0
2015-06-27,1.47285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.31161506556912,0.0,112.65349657412212,405.15927597372536,0.0,124.92783328270424,0.0,0.0,0.0,0.0,0.0
2015-07-04,1.58033,0.0,0.0,0.0,0.0,0.0,0.0,47.943600978396255,0.0,0.0,62.21221445208941,0.0,82.92712614441376,406.8748178094978,0.0,72.38793369229165,0.0,0.0,29.73117038465833,0.0,0.0
2015-07-11,1.26985,0.0,0.0,31.396122884838565,0.0,29.338583611713872,0.0,0.0,0.0,0.0,56.826449043016446,0.0,105.51387522654385,400.2755821665282,32.24660329741849,91.22888966574855,0.0,0.0,0.0,0.0,35.392934438425755
2015-07-18,1.29911,0.0,0.0,0.0,0.0,0.0,0.0,31.23735656365362,0.0,0.0,43.2523103926929,0.0,105.36713504732714,312.0235543564247,0.0,140.13098011437268,0.0,0.0,44.63056664981923,0.0,0.0
2015-07-25,1.28852,0.0,0.0,32.040682380305405,0.0,0.0,0.0,38.810500817156,33.08986044274442,0.0,79.99320204358104,0.0,109.3601048605622,325.60616255745254,0.0,120.35153030171452,0.0,0.0,33.498703852398464,0.0,0.0
2015-08-01,1.0823,0.0,0.0,0.0,0.0,0.0,0.0,48.755083220870205,0.0,0.0,64.28050800630248,0.0,110.04016126504492,295.3969542386725,0.0,136.30118147462926,0.0,0.0,0.0,0.0,0.0
2015-08-08,1.12071,0.0,0.0,33.844419912763726,0.0,0.0,0.0,38.71606831476734,0.0,0.0,52.60390324252372,0.0,74.92691337126026,281.7993952032133,0.0,107.705092606434,0.0,0.0,33.76638039351855,0.0,0.0
2015-08-15,1.14597,0.0,0.0,0.0,0.0,0.0,0.0,55.85035234645096,0.0,0.0,67.50608928762172,0.0,97.22598234433651,314.40843564860404,0.0,106.597949022799,0.0,0.0,0.0,0.0,0.0
2015-08-22,1.58142,0.0,0.0,0.0,31.763885990920794,0.0,0.0,40.045798348625205,0.0,0.0,32.05188305029048,0.0,125.2280736851672,345.23546844817275,0.0,122.28756815456678,0.0,0.0,0.0,28.38925882036337,0.0
2015-08-29,1.1363,0.0,0.0,28.385658064136653,0.0,0.0,0.0,54.63858276318284,0.0,0.0,40.86183594161077,0.0,134.63684112463284,366.5228009068342,0.0,119.3017961193814,0.0,0.0,0.0,0.0,36.21112015077068
2015-09-05,1.52525,0.0,0.0,28.15475619452246,42.74385977179468,0.0,0.0,89.2626779578117,0.0,0.0,92.20896166710152,0.0,223.8844585690342,399.5595929831732,0.0,113.91693476989262,0.0,0.0,38.73545363944111,0.0,0.0
2015-09-12,2.01858,0.0,0.0,32.37089477396972,26.798196535359324,0.0,0.0,105.1593463060385,0.0,0.0,64.7770044346096,0.0,267.13542310103446,451.4071886001822,0.0,190.0003161995599,0.0,0.0,39.578185662609314,0.0,0.0
2015-09-19,1.8631,0.0,0.0,33.7551700000209,46.139601372296376,0.0,34.95545935399748,132.67882665637867,0.0,0.0,67.65338014407938,0.0,333.9196690910037,517.2365294735116,35.220907769929106,217.58510063217724,0.0,0.0,35.264867195909815,0.0,0.0
2015-09-26,2.09836,44.16927834880017,44.16927834880016,92.61820776608396,77.33020699855392,0.0,0.0,93.6679909315246,0.0,0.0,93.86503516140648,0.0,392.3268882509536,509.1649550653504,0.0,283.3485015004783,0.0,0.0,53.71207908396774,0.0,62.09951354644367
2015-10-03,2.17404,0.0,0.0,68.68409261572373,73.66757389112819,0.0,0.0,145.46320314786914,0.0,0.0,120.7306826833205,0.0,423.0048460420562,543.8204733505112,0.0,275.7239108609698,0.0,0.0,39.53810735756004,0.0,38.14134777038184
2015-10-10,3.1748,37.88770747350775,37.88770747350775,102.31688463990986,90.71976835511224,30.797625661619872,0.0,176.99408970879617,0.0,0.0,76.78475203174996,0.0,543.0527614256602,491.1471585287317,0.0,380.2378290304984,0.0,33.2149631121883,56.86371462780026,35.01459683800255,56.59074425831708
2015-10-17,3.42995,0.0,0.0,26.99716054746829,0.0,0.0,0.0,157.43994651186952,0.0,0.0,79.97170821153,0.0,447.4414923615531,542.5831628672455,0.0,378.0403359203641,0.0,0.0,80.84483722382147,0.0,48.44295195755446
2015-10-24,3.63057,41.44932358878591,41.44932358878591,87.82764170783639,105.59191224390771,0.0,0.0,161.50657382681064,0.0,0.0,103.4379169819785,0.0,691.9735940972433,594.0978552951968,0.0,365.5479121599431,0.0,0.0,81.93879807825193,0.0,90.91580337061336
2015-10-31,3.84937,45.75975927955071,45.75975927955072,99.57542172088422,104.42311017910372,35.31355066717599,0.0,157.3502491596888,0.0,0.0,98.1938776315374,0.0,524.8465405237558,546.2291753086647,0.0,366.13301259150586,34.344552007071094,0.0,106.07906229900652,67.1636206384882,79.18491212287266
2015-11-07,3.47839,35.66371215309167,35.66371215309167,80.38232246361395,91.61475325528264,0.0,0.0,161.8705928323817,0.0,0.0,90.32027640250855,0.0,484.4563053211414,609.3447651081561,0.0,355.9150233137537,0.0,0.0,65.16160442870049,0.0,66.04953132031748
2015-11-14,3.86243,50.17220123892254,50.17220123892254,87.43964241625966,75.506148668649,0.0,32.62205419207821,163.95559488667294,0.0,0.0,52.046275414073406,0.0,427.6896242861657,585.010396518788,0.0,346.69416207108844,0.0,0.0,94.56588473433712,0.0,46.60025093428072
2015-11-21,3.96778,30.317021170734936,30.317021170734943,75.53344581920867,93.21310728239612,50.7644809349767,0.0,161.00206360409388,0.0,0.0,78.53409204394585,0.0,445.1135423964846,678.3203119926462,0.0,389.86465158420623,0.0,0.0,72.90749818967814,35.02182899796276,49.44080515713221
2015-11-28,4.81392,33.6091523118453,33.6091523118453,0.0,70.5815263693795,33.35499437872638,0.0,164.24318240551938,42.1780199649658,0.0,90.91654763281105,0.0,311.61636522357185,556.8291002119458,0.0,290.908652456851,0.0,0.0,43.99683689801159,0.0,73.4960464133355
2015-12-05,4.43529,0.0,0.0,71.75911967316347,70.69667152339427,0.0,0.0,172.78217301267304,0.0,0.0,68.69168542498005,27.481400143540835,389.092482039128,692.8544948017911,0.0,413.04362464954414,0.0,0.0,33.38752701576856,39.730147148460304,56.13500954550434
2015-12-12,4.49576,0.0,0.0,61.91407214186478,71.08854117933369,0.0,39.13699732873344,168.49922411252825,0.0,0.0,124.68410962202232,0.0,324.17924554660755,703.7665699607338,0.0,368.96647693064966,0.0,0.0,38.964596430824336,0.0,61.67609720407832
2015-12-19,4.67202,0.0,0.0,88.28219956537549,94.64551116328974,43.370299447459246,0.0,178.89231551621646,0.0,0.0,108.36276015569102,0.0,378.3898597336974,653.0633799039558,0.0,356.42592029253746,0.0,0.0,84.65458878888494,44.47306040153573,72.88381762729378
2015-12-26,5.12797,44.50146303992202,44.50146303992202,98.12814249981416,111.23023896207204,39.11855850798081,0.0,200.9707361762772,0.0,0.0,186.64722794122616,34.56642563654103,364.5841751865684,561.4518620879858,0.0,363.33776361924384,0.0,0.0,0.0,31.973868311810914,62.026121406201575
2016-01-02,5.70737,59.22905566342372,59.22905566342372,56.272102183863424,89.18436313864808,0.0,29.663359294941003,198.13934535429104,0.0,28.109642137783823,88.32023799919395,0.0,405.4313122490002,740.3392037866743,0.0,349.6530180034642,0.0,0.0,66.90952971964546,0.0,49.01361838120315
2016-01-09,4.68602,0.0,0.0,57.37009252049992,67.09798880434892,0.0,0.0,182.5474550723553,30.472858524008355,0.0,86.0101805150172,0.0,351.5845185677877,674.5273274098089,0.0,325.8530447192934,0.0,0.0,57.33332719973133,25.63832952223746,62.81277005753997
2016-01-16,4.16846,30.49777972359481,30.49777972359481,51.80999517469833,41.442587168212334,0.0,33.60614334275446,130.0434502770046,0.0,0.0,79.24633207782502,24.67090184464629,321.8150678122371,608.7760142789684,26.189482475378256,353.1465769723296,0.0,0.0,50.71004629813626,30.498450719885668,65.23822826806898
2016-01-23,4.36048,47.07198181364987,47.07198181364987,97.22646661072368,124.97697877533942,0.0,0.0,180.72465961742495,26.375971020558808,0.0,81.32990551470238,0.0,355.2483132500592,581.3893006785428,25.454890750799983,373.4700881281628,0.0,0.0,44.76278054806679,26.03356425071193,38.009081606023706
2016-01-30,4.96129,23.948836296084483,23.94883629608448,69.47861961004735,67.76698374531549,0.0,27.07059096343599,148.53655805971488,0.0,0.0,75.16719938633169,0.0,392.5010322892162,598.580597914421,29.166291782583205,433.2807191082441,0.0,0.0,53.44203639167304,28.357250193237395,90.98037435200172
2016-02-06,4.89241,50.17857928939621,50.17857928939621,113.31037212518396,106.16539607648002,0.0,31.48621204962848,131.45065845665437,0.0,0.0,166.22506524886975,0.0,420.7714333434027,706.2812477955783,25.840956498268724,375.09474241317287,0.0,21.720227308524176,83.9314755638999,43.03159203698389,68.67396491795985
2016-02-13,5.62804,66.97282693580615,66.97282693580614,142.62260846189633,125.4674043375514,24.072003581542617,36.79192229982006,158.94800592211857,22.75402621661142,0.0,142.89330451728833,34.132319462208066,516.8720678720565,667.3216268423181,33.727150716139015,464.0746012266381,23.832233772383614,25.505049755671838,84.50621206734228,48.63674191057228,93.09618465715216
2016-02-20,6.36256,57.05314572980308,57.05314572980308,187.1451492949221,174.38071256165188,30.799718168063634,61.08447091950028,131.93532772092678,25.350421120646512,37.97752009574204,126.26178499750507,40.67853509951509,591.4453149342203,751.9990413768674,80.20254254395795,591.8594916397919,30.670127218931277,0.0,119.40867502951818,69.46305767473281,95.76725310393752
2016-02-27,4.48169,96.18823826080278,96.1882382608028,184.385569098124,181.0056936199017,38.58532440204413,88.49090965854175,132.03732979596182,0.0,46.08592573736731,132.31236976279115,43.1367774205311,699.1651470286799,715.2577533887198,105.82473563035718,565.806098709151,33.45852600962477,29.240380093410515,104.31135722945196,60.63146709986415,104.02502775389824
2016-03-05,4.7195,86.574292120066,86.574292120066,201.8513354854973,206.7545110712317,42.10079837168004,76.96341247371342,170.21529082296368,28.396888745813367,41.82212204417748,143.5352318821758,51.61352621279393,776.5959956988846,665.488484941533,103.89496961773612,714.7236390962188,28.957472937255663,25.39172170212097,150.5339639763106,84.54298003169056,136.48786417150765
2016-03-12,4.01485,122.07225743030764,122.07225743030766,205.22568165627743,195.0948978182944,0.0,64.78698329921413,127.74451747549706,30.013353253078517,44.839228944484205,143.6570821630762,51.48356833744815,692.0336519098018,686.1334801715018,119.68777350017146,593.9423284446156,36.996767243980365,0.0,100.62553446336511,66.89717775418465,78.67120236511867
2016-03-19,3.73119,118.06133100166556,118.06133100166556,174.2973473958412,190.55477935104864,55.93310836584512,56.65991251548299,99.8707762044124,0.0,0.0,136.9016278937343,26.65763076286713,581.2823054179572,550.7397077660803,62.859950686107965,460.8931478407664,0.0,38.0017712312771,80.12021830898172,50.06496801511001,76.50721629523943
2016-03-26,3.46318,57.868764968149314,57.8687649681493,166.27106643406378,145.7079682125949,34.01716921932182,73.90464116664172,125.00082268700646,26.12817126329913,28.317723289190557,140.9744393496717,46.0261575715036,532.6189150435981,634.9355270072763,113.47346961410582,463.7498501475097,24.764762145345465,0.0,83.47299620530065,58.81466126638778,61.94617987703228
2016-04-02,3.2444,88.60681292405815,88.60681292405815,158.74234834348,169.54191758684198,52.15298535382728,68.9882217160698,132.6707004091084,0.0,34.102786044351525,125.9522614171989,22.265307659597248,544.8305039798437,531.8903057541182,62.511520614037394,434.3723226527789,0.0,0.0,84.81860364585306,56.62805951201577,79.0278939549958
2016-04-09,2.83508,58.79968486823799,58.79968486823799,131.0363780618053,135.06048727434688,25.833380481624577,66.59829776813328,154.23185381722098,0.0,41.27986732605293,105.82199748251146,40.37591060956553,557.9362146296099,659.2062508678075,84.25006910611297,446.6976095754189,25.28800210124319,25.618722604992,95.51019865910082,49.40878426932815,88.69383000025428
