,bronchitis,cold,contagious flu,fever flu,flu contagious,flu fever,flu how long,flu symptoms,how long does flu last,how long flu,pneumonia,rsv,sinus,stomach flu,strep,strep throat,symptoms of flu,symptoms of the flu,the flu,the flu symptoms
2010-08 to 2013-08,0.043293969540211696,0.42051406671976677,0.21845513336403116,0.3643455890615279,0.017265288952051133,0.3643455891299967,0.05458194120640228,0.07751173033212526,0.011449579979379811,0.05458194130785632,0.3136956647200799,0.07351691766790591,0.3261894659966137,0.23136649722138455,0.32882205596339353,0.4782826717200742,0.242376284459978,0.003844359702570278,0.4909599664823858,0.1620658662898232
2011-08 to 2014-08,0.015263302414787893,0.188346008541576,0.27337857001075294,0.3085600368529503,0.04717198010260882,0.30856003711216445,0.04454695791314186,0.23178739131826834,0.08615382145613594,0.04454695783523373,0.42187225979029563,0.04910150789802014,0.23461537138970778,0.22551504274531853,0.05343304519883441,0.19423866475064652,0.40157814125197666,0.04050777873347671,0.04704881559982906,0.3911925074147219
2012-08 to 2015-08,0.7738559842064354,0.14288585871849235,0.08415837261239292,0.11929306156441495,0.22212475985105873,0.11929306159848782,0.016013291075061366,0.050696780694086556,0.028911207318009568,0.016013291082143825,0.04292860036738588,0.015351737884173771,0.00890039476236706,0.217292641931658,0.049541142511800564,0.14778207350335965,0.004989922533230788,0.12191218430169215,0.07904315123004842,0.031191199535286138
2013-08 to 2016-08,0.21590875400920023,0.014311027875071075,0.14327953175223068,0.04223022653821246,0.430644296706603,0.042230226523340644,0.2297704768052106,0.1569731545383962,0.5379871430486569,0.2297704768153528,0.20245229769340697,0.04134069814079336,0.06297637416627853,0.16708730670051553,0.4425725920405341,0.1625257218449667,0.06691408095231313,0.520244453009256,0.47692323922447477,0.16381302240791057
2014-08 to 2017-08,0.07329354106563292,0.15006981400150252,0.12488271974315233,0.015832604136230992,0.21505590863950658,0.015832604136771573,0.04680800382687026,0.03249748322427571,0.11988011295065013,0.046808003827643045,0.01669731881516502,0.1374550848296579,0.003951956611798541,0.16412102033963435,0.1868834333665301,0.276984199403732,0.050749183717364074,0.02462413698387485,0.3375239886687482,0.009998812649474654
2015-08 to 2018-08,0.14315584767446485,0.02619598154228099,0.033838810955902625,0.12337450001250715,0.20507751841073218,0.12337449996950119,0.3116567322425427,0.01838994344973481,0.16895164706298554,0.31165673227714125,0.06491165626734739,0.118511419103364,0.252107638851759,0.15264696187468305,0.16447499832013035,0.21541364126719786,0.02004515306446783,0.10471729018420464,0.13434741210374535,4.6903534124352794e-05
2016-08 to 2019-08,0.11371486572309528,0.01662242605995385,0.28661877916135164,0.07525026419976359,0.3801115695978796,0.07525026419401694,0.3865166808245245,0.07717485150198054,0.11006088812682878,0.38651668071392375,0.019377943594409988,0.12369002738113616,0.02043969289083635,0.1072712711178268,0.3822807997914125,0.5950051759663184,0.30348343390357485,0.10791802546234813,0.06517611029818056,0.036168511712760726
2017-08 to 2020-08,0.16551902289535123,0.015019890880006277,0.0968116683191322,0.4668221357198068,0.03493874674879864,0.46682213569292086,0.06254956008673253,0.19149048552186268,0.22845551234977998,0.06254956018549876,0.5267809847151587,0.06269275461233156,0.1840989702635963,0.19957738566255248,0.15205993799561618,0.21049821438684785,0.26873780007010606,0.22533243891128987,0.0006108746200923832,0.07810905938891985
Proportion_Significant,0.28125,,,,,,,,,,,,,,,,,,,
