,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K20
South Dakota,0.000328,0.000849,0.001140,0.001578,0.001653,0.001993,0.002995,0.005680,0.005680,0.005952,0.005952,0.006301,0.008673,0.010810,0.010810,0.013218,0.013218,0.032701,0.050844,0.092731
Tennessee,0.000043,0.000046,0.000046,0.000583,0.001163,0.001499,0.002430,0.002895,0.005109,0.005432,0.005521,0.012244,0.012659,0.016646,0.028833,0.036002,0.069993,0.072670,0.080712,0.110404
Texas,0.000322,0.003522,0.004111,0.004301,0.004312,0.004629,0.005260,0.007196,0.010171,0.017190,0.018400,0.021138,0.024789,0.030664,0.033747,0.033747,0.038472,0.046238,0.067038,0.079760
Utah,0.000319,0.000319,0.000724,0.000769,0.000840,0.000869,0.002133,0.004314,0.005522,0.006909,0.007249,0.009064,0.009533,0.010579,0.015561,0.026091,0.065853,0.089457,0.107361,0.107361
Vermont,0.001044,0.001044,0.002489,0.003270,0.005489,0.005983,0.006213,0.007770,0.009827,0.015967,0.016813,0.017148,0.017380,0.019071,0.022626,0.029520,0.029774,0.033660,0.035613,0.075390
Virginia,0.000018,0.000213,0.000422,0.000663,0.000663,0.000771,0.001809,0.002181,0.002181,0.002205,0.002795,0.003243,0.004815,0.006799,0.006948,0.007793,0.009758,0.010388,0.015913,0.024768
Washington,0.000023,0.000023,0.000143,0.000143,0.000426,0.000685,0.000997,0.001813,0.001813,0.002676,0.003512,0.006210,0.007287,0.007501,0.020023,0.024068,0.028607,0.028607,0.035768,0.072883
West Virginia,0.000983,0.001420,0.001451,0.001500,0.001604,0.001929,0.001929,0.002650,0.004184,0.004184,0.006471,0.011707,0.011736,0.012380,0.013371,0.016137,0.016622,0.016670,0.023007,0.068179
Wisconsin,0.001388,0.001583,0.004245,0.007410,0.010970,0.015201,0.018940,0.019969,0.020544,0.020869,0.023572,0.026337,0.026616,0.029375,0.031104,0.032855,0.037967,0.055009,0.074977,0.086772
Wyoming,0.000115,0.000137,0.000803,0.002370,0.002810,0.004085,0.004085,0.009445,0.009445,0.014048,0.015601,0.016212,0.021532,0.023856,0.027979,0.036671,0.036671,0.040645,0.058765,0.071358
