,bronchitis,cold,contagious flu,fever flu,flu a,flu cold,flu contagious,flu fever,flu how long,flu symptoms,how long does flu last,how long flu,pneumonia,rsv,sinus,stomach flu,strep,symptoms of flu,the flu,the flu symptoms
2010-08 to 2013-08,0.43946493606325177,0.05527771230530028,0.4713804900674639,0.43946493606325177,0.48566535858751964,0.44980399033946417,0.4713804900674639,0.2881614970422598,0.27642109329661646,0.4910524583362539,0.43946493606325177,0.44980399033946417,0.12077146679667444,0.43946493606325177,0.44980399033946417,0.44980399033946417,0.3276453854630268,0.1010761454855016,0.44980399033946417,0.43946493606325177
2011-08 to 2014-08,0.17745718124117252,0.33952596608284075,0.026904099507772502,0.05278474220206957,0.06399410182880591,0.10312870441241621,0.026904099507772502,0.10312870441241621,0.047561834750601405,0.10312870441241621,0.06399410182880591,0.4341605731784437,0.20669943252979614,0.5673690888204895,0.20669943252979614,0.10312870441241621,0.06399410182880591,0.05278474220206957,0.08018350996496913,0.10312870441241621
2012-08 to 2015-08,0.4828828595655308,0.32013582726575,0.32013582726575,0.37638453271669126,0.3591280869663158,0.32013582726575,0.32013582726575,0.3591280869663158,0.32013582726575,0.32013582726575,0.32013582726575,0.45506915922865165,0.32013582726575,0.4647733989023555,0.32013582726575,0.32013582726575,0.3403948145572581,0.40876841754518695,0.32013582726575,0.32013582726575
2013-08 to 2016-08,0.20189140773499492,0.20189140773499492,0.20189140773499492,0.20732103545050445,0.43135018350786214,0.29729493911178606,0.20189140773499492,0.29729493911178606,0.20732103545050445,0.20189140773499492,0.20189140773499492,0.29729493911178606,0.20189140773499492,0.20189140773499492,0.20189140773499492,0.20189140773499492,0.20189140773499492,0.20189140773499492,0.20732103545050445,0.20189140773499492
2014-08 to 2017-08,0.35728735920677474,0.4117439106398311,0.14759124503371515,0.020862903263865855,0.14759124503371515,0.1409645723064866,0.14759124503371515,0.015915126179202207,0.14759124503371515,0.12367520295211486,0.020862903263865855,0.4494737907645071,0.015915126179202207,0.3970143767010771,0.14609834894731355,0.1409645723064866,0.14609834894731355,0.05695512799290675,0.3057821768775683,0.14609834894731355
2015-08 to 2018-08,0.15940009660373103,0.3376745182632919,0.08669050910569023,0.24594732135577282,0.6521024932310305,0.45165773417780164,0.08669050910569023,0.6993887858227259,0.3376745182632919,0.46886286213142736,0.3376745182632919,0.3376745182632919,0.028956336938211306,0.13875532609554628,0.22859392294288955,0.24594732135577282,0.058466324129447036,0.24594732135577282,0.3376745182632919,0.14362494848199545
2016-08 to 2019-08,0.1578025178488155,0.15434779787627617,0.2907435749584667,0.15434779787627617,0.2907435749584667,0.2907435749584667,0.2907435749584667,0.1220877510090922,0.1579022909601732,0.1579022909601732,0.1579022909601732,0.2907435749584667,0.3459975932193603,0.2907435749584667,0.19334974035209385,0.04805078793244274,0.2163980089537535,0.10602235934330337,0.04805078793244274,0.07295063672778697
2017-08 to 2020-08,0.032518899871376315,0.08082520551964008,0.08259671455851916,0.04753160685177521,0.4428097792843121,0.03587946751150982,0.08259671455851916,0.08371985084651076,0.06754029330282779,0.03587946751150982,0.13045399308697772,0.05550666053647501,0.06814682880657731,0.022454046002165603,0.009248580736219859,0.3018480222244715,0.08259671455851916,0.025287514116112866,0.015325180696391855,0.022454046002165603
Proportion_Significant,0.800 (16/20),,,,,,,,,,,,,,,,,,,
