,bronchitis,contagious flu,fever flu,flu a,flu contagious,flu how long,flu symptoms,flu type a,how long contagious,how long flu,pneumonia,rsv,sinus,stomach flu,strep,strep throat,symptoms of flu,the flu,the flu symptoms,type a flu
2010-08 to 2013-08,0.01815355419351989,0.07677394981786152,0.2525120536469401,0.21847316104109402,0.014687931647691587,0.1939042921120497,0.008682753859070908,0.3163194330457445,0.2563800417153221,0.19244055808744331,0.11596309083903729,0.032731834011658065,0.2601749141288647,0.1067206835801146,0.5931210044244927,0.10327195830356992,0.0925355404410394,0.06920699116704451,0.03105933998160413,0.31631943304710564
2011-08 to 2014-08,0.04151361279826105,0.15970311978492274,0.000630444521082564,0.03975079135635394,0.20639186644115579,0.03929842322213028,0.026899951426818842,0.006016633967315948,0.2560382305336177,0.0031875185063368595,0.062061836027302635,0.08016408700494554,0.6878505709174931,0.15830583249285113,0.12595836442449834,0.03673892305564116,0.04041944923906098,0.026782145121079775,0.05973065920466313,0.006016633967517927
2012-08 to 2015-08,0.29085141832759676,0.258646182639096,0.027798548522131608,0.24213222667853268,0.10700854945449524,0.3794874694039143,0.021519566187455822,0.011631465475290618,0.1422058902681263,0.18163089450378492,0.2898132201677638,0.09760974365192351,0.07312081166078646,0.23974126249735964,0.2749620301093931,0.11713901748216059,0.1941555598110297,0.1947525003188198,0.1426105060611072,0.011631465474840307
2013-08 to 2016-08,0.06070582403306257,0.003738835292609069,0.0013644061278198828,0.1610159969040776,0.021349285120063788,0.01368511487559428,0.02115376229524138,0.012987172142536675,0.23478382908363912,0.21033735686598232,0.036841239367600684,0.4430241077088999,0.04297909703018886,0.27049398450535306,0.2067240953750791,0.24505241627329616,0.020191448055672107,0.0026485306582063094,0.2659620151934554,0.012987172143084456
2014-08 to 2017-08,0.08307107730501546,0.35100531001032065,0.010409316003959215,0.16095050590056398,0.04786092599800341,0.0003432034204221131,0.04960557732386302,0.05942180306377322,0.07547077598189732,0.025001176200989968,0.008639725341610584,0.044143899411367545,0.0440501556454358,0.07162633391555606,0.05243131020911559,0.29328186024205594,0.21166848034316,0.011536241313889488,0.08844409774799096,0.059421803062436426
2015-08 to 2018-08,0.25728988450560547,0.268437731465742,0.01843779354278385,0.0022069485737266285,0.003475956083979632,0.006940607293114768,0.2480108350725692,0.0010249629878530948,0.22538211458975113,0.02203129593986262,0.01907604218054154,0.028232593494315658,0.0553063948462362,0.17383434080477142,0.07695788526371342,0.05715856509948108,0.27681076057264725,0.02400666675870206,0.02429223010457236,0.0010249629877585801
2016-08 to 2019-08,0.05751831194039422,0.16436212570565545,0.015618932284865899,0.0012163186931472465,0.00145302170590603,0.004771708753734993,0.16200246571930238,0.04945974593984599,0.2165040216318363,0.0043988946631137735,0.011162150764664211,0.042507016590944066,0.10287779952447826,0.0014115007793175356,0.2274916800850136,0.0998000615290568,0.10158299943597932,0.0711365160219418,0.09374445181413942,0.04945974593754097
2017-08 to 2020-08,0.066112722812579,0.05456284514541494,0.0913894113145419,0.08760228566492712,0.12759837178159303,0.24783239901725473,0.422681980676073,0.23836046111266174,0.1917865972024008,0.43883609990388994,0.2118662011994066,0.2300066008125882,0.2203946570568342,0.5577770492304994,0.5925699992255196,0.4366266392327076,0.043487867023587826,0.39041379345978144,0.18545973172238814,0.23836046110434908
Proportion_Significant,0.3875,,,,,,,,,,,,,,,,,,,
