region,method,proportion,count,total,formatted
Ohio,BONFERRONI,0.35,7,20,0.350 (7/20)
Maine,BONFERRONI,0.05,1,20,0.050 (1/20)
Mississippi,BONFERRONI,0.6,12,20,0.600 (12/20)
Utah,BONFERRONI,0.35,7,20,0.350 (7/20)
South Carolina,BONFERRONI,0.5,10,20,0.500 (10/20)
Delaware,BONFERRONI,0.15,3,20,0.150 (3/20)
Indiana,BONFERRONI,0.4,8,20,0.400 (8/20)
Arkansas,BONFERRONI,0.55,11,20,0.550 (11/20)
Iowa,BONFERRONI,0.45,9,20,0.450 (9/20)
New Jersey,BONFERRONI,0.2,4,20,0.200 (4/20)
Wisconsin,BONFERRONI,0.1,2,20,0.100 (2/20)
Michigan,BONFERRONI,0.2,4,20,0.200 (4/20)
Arizona,BONFERRONI,0.3,6,20,0.300 (6/20)
Massachusetts,BONFERRONI,0.1,2,20,0.100 (2/20)
Montana,BONFERRONI,0.55,11,20,0.550 (11/20)
New York,BONFERRONI,0.2,4,20,0.200 (4/20)
Wyoming,BONFERRONI,0.2,4,20,0.200 (4/20)
Minnesota,BONFERRONI,0.1,2,20,0.100 (2/20)
West Virginia,BONFERRONI,0.35,7,20,0.350 (7/20)
North Dakota,BONFERRONI,0.35,7,20,0.350 (7/20)
Kentucky,BONFERRONI,0.45,9,20,0.450 (9/20)
Louisiana,BONFERRONI,0.1,2,20,0.100 (2/20)
Maryland,BONFERRONI,0.05,1,20,0.050 (1/20)
Texas,BONFERRONI,0.05,1,20,0.050 (1/20)
Hawaii,BONFERRONI,0.1,2,20,0.100 (2/20)
Rhode Island,BONFERRONI,0.4,8,20,0.400 (8/20)
Kansas,BONFERRONI,0.25,5,20,0.250 (5/20)
Pennsylvania,BONFERRONI,0.45,9,20,0.450 (9/20)
North Carolina,BONFERRONI,0.3,6,20,0.300 (6/20)
Nebraska,BONFERRONI,0.15,3,20,0.150 (3/20)
Tennessee,BONFERRONI,0.35,7,20,0.350 (7/20)
Idaho,BONFERRONI,0.2,4,20,0.200 (4/20)
Oregon,BONFERRONI,0.25,5,20,0.250 (5/20)
Nevada,BONFERRONI,0.25,5,20,0.250 (5/20)
California,BONFERRONI,0.15,3,20,0.150 (3/20)
New Mexico,BONFERRONI,0.45,9,20,0.450 (9/20)
