,a influenza,bronchitis,cold,contagious flu,flu a,flu cold,flu how long,flu symptoms,how long does flu last,how long flu,influenza a,influenza a symptoms,influenza symptoms,pneumonia,rsv,sinus,stomach flu,symptoms of flu,the flu,the flu symptoms
2010-08 to 2013-08,1.0,1.0,0.12100974886179294,1.0,0.4546216726805529,1.0,0.16554944665629626,0.8502922034010395,0.4477476070784816,1.0,1.0,1.0,0.7169443485918019,1.0,0.00040497557642553194,1.0,1.0,1.0,1.0,0.9069192676851247
2011-08 to 2014-08,1.0,1.0,0.7553655924954972,0.6518008684420286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7598111443332638,1.0,1.0,1.0,1.0,0.35197055283313483
2012-08 to 2015-08,0.21803357956029068,1.0,1.0,0.15938148128264104,0.08359766198803403,1.0,0.608225406691053,1.0,0.14320312794089873,1.0,0.21803357977774573,0.3805280221889862,0.17969348234889942,0.12336446637566299,0.08337889678563723,1.0,0.7541173166516458,0.41663102245986827,1.0,1.0
2013-08 to 2016-08,1.0,1.0,0.2573896454666719,1.0,0.044974839161076176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6601515335236445,1.0,1.0
2014-08 to 2017-08,1.0,1.0,1.0,0.3037018970582568,0.12545975385355343,1.0,1.0,0.34188045079560225,0.8739062091126062,0.026934716783257696,1.0,1.0,0.4132171521238509,1.0,0.8323962023966834,0.6943850303522469,1.0,1.0,1.0,0.14597824953696759
2015-08 to 2018-08,0.6552957337040228,1.0,1.0,0.4319987251389162,1.0,0.23345119837848785,1.0,1.0,0.04234756663926291,1.0,0.6552957337071342,1.0,0.6012603360128512,1.0,1.0,1.0,1.0,0.34235124150404805,1.0,0.6544236064948752
2016-08 to 2019-08,0.03634935001777652,0.9271304940704844,0.11362694058359502,1.0,1.0,0.43869520568309206,0.5704378304858486,1.0,1.0,1.0,0.03634935006802809,1.0,0.16204075813754842,0.7645554367070182,0.9889873471712813,1.0,1.0,1.0,1.0,1.0
2017-08 to 2020-08,0.782440929386121,1.0,1.0,0.4005339912624637,0.4299299155591013,0.1482647684642976,0.8742315671102613,1.0,1.0,0.293004898214825,0.7824409258130856,0.03029187799212963,1.0,0.3159526693681689,1.0,1.0,1.0,0.2371708276105003,0.22238325671968773,0.8850835517604483
Proportion_Significant,0.04375,,,,,,,,,,,,,,,,,,,
